cond,az,trial,min_dist,final_y,final_x,final_yaw,peak_turn,mean_abs_turn,peak_gf,max_active
shuffle3,30,0,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,262
shuffle3,30,1,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,253
shuffle3,30,2,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,262
shuffle3,30,3,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,259
shuffle3,30,4,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,258
shuffle3,30,5,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,267
shuffle3,30,6,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,258
shuffle3,30,7,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,264
shuffle3,30,8,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,275
shuffle3,30,9,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,273
shuffle3,-30,0,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,271
shuffle3,-30,1,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,249
shuffle3,-30,2,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,248
shuffle3,-30,3,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,252
shuffle3,-30,4,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,250
shuffle3,-30,5,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,257
shuffle3,-30,6,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,256
shuffle3,-30,7,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,246
shuffle3,-30,8,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,246
shuffle3,-30,9,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,255
