course,cond,trial,min_dist,final_y,final_x,final_yaw,peak_turn,mean_abs_turn,peak_gf,max_active
empty,nobrain,0,1000000000.0,0.0,7.018042729357403,0.0,0.0,0.0,0.0,0
empty,real,0,1000000000.0,0.0,7.018042729357403,0.0,0.0,0.0,0.0,0
empty,real,1,1000000000.0,0.0,7.018042729357403,0.0,0.0,0.0,0.0,0
empty,real,2,1000000000.0,0.0,7.018042729357403,0.0,0.0,0.0,0.0,0
headon_static,nobrain,0,0.9819630385898835,0.0,7.018042729357403,0.0,0.0,0.0,0.0,0
headon_static,real,0,2.3218147262415183,-2.027726967280023,6.019786571144989,-77.92805032690877,1.0,0.07080043290116214,1.0,266
headon_static,real,1,2.311258904372687,-2.0554670798008727,5.912086741400001,-84.97875009810227,1.0,0.07765660582402792,1.0,279
headon_static,real,2,2.5301971039952877,-2.3273589777891255,5.839041524700684,-76.6661309207791,1.0,0.06982462121613592,0.8635625205559196,222
gauntlet_offset,nobrain,0,1.2000047435041292,0.0,7.018042729357403,0.0,0.0,0.0,0.0,0
gauntlet_offset,real,0,2.572369650007805,-3.9555176363342164,5.859001988152461,-41.093166497097634,1.0,0.03790474395858073,0.7664774710372041,164
gauntlet_offset,real,1,2.482140047061732,-4.063829406566528,5.724039967671542,-45.162632876388706,0.5642326694492891,0.041666666666666664,0.8624391042467556,182
gauntlet_offset,real,2,2.5255050295421566,-4.083266460776611,5.720007471780363,-44.155865509109546,0.8655978798927644,0.040740740740740744,0.8074291676841773,173
