stim,rate,trial,max_active,DNp01_left,DNp01_right,DNa02_left,DNa02_right,DNa01_left,DNa01_right,DNb01_left,DNb01_right,DNp03_left,DNp03_right,DNp11_left,DNp11_right,DNg02_left,DNg02_right,DN_all_left,DN_all_right,LPLC2_left,LPLC2_right,LC4_left,LC4_right,LC6_left,LC6_right,LPLC1_left,LPLC1_right,dn_active
T4T5_b_L,50.0,3,1196,0.0,0.0,6.0,10.0,7.0,20.0,18.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4992248062015504,1.215170278637771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
T4T5_b_L,100.0,0,1683,0.0,0.0,28.0,1.0,24.0,25.0,39.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3224806201550388,1.414860681114551,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
T4T5_b_L,100.0,1,1707,0.0,0.0,20.0,1.0,25.0,22.0,39.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2713178294573644,1.4272445820433437,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
T4T5_b_L,100.0,2,1701,0.0,0.0,30.0,2.0,22.0,24.0,37.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.330232558139535,1.436532507739938,0.12037037037037036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
T4T5_b_L,100.0,3,1698,0.0,0.0,25.0,2.0,21.0,25.0,39.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2868217054263567,1.4458204334365325,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
T4T5_ab_L,50.0,0,2077,0.0,0.0,26.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17054263565891473,0.14551083591331268,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
T4T5_ab_L,50.0,1,2057,0.0,0.0,25.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15038759689922482,0.11455108359133127,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
T4T5_ab_L,50.0,2,2059,0.0,0.0,23.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16589147286821707,0.18885448916408668,0.7962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
T4T5_ab_L,50.0,3,2134,0.0,0.0,25.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26356589147286824,0.19504643962848298,0.7962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
T4T5_ab_L,100.0,0,2948,0.0,0.0,30.0,1.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9550387596899225,0.6176470588235294,5.203703703703703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
T4T5_ab_L,100.0,1,2956,0.0,0.0,32.0,0.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9441860465116279,0.651702786377709,5.2592592592592595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
T4T5_ab_L,100.0,2,2966,0.0,0.0,28.0,1.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931782945736434,0.6362229102167183,5.157407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
T4T5_ab_L,100.0,3,2943,0.0,0.0,28.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9922480620155039,0.6191950464396285,5.194444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
T4T5_cd_L,50.0,0,2452,0.0,0.0,10.0,17.0,12.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8188854489164087,1.8703703703703705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
T4T5_cd_L,50.0,1,2456,0.0,0.0,13.0,14.0,8.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0201550387596898,0.846749226006192,1.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
T4T5_cd_L,50.0,2,2477,0.0,0.0,12.0,17.0,9.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953488372093023,0.8281733746130031,1.8425925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
T4T5_cd_L,50.0,3,2453,0.0,0.0,7.0,17.0,6.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9503875968992248,0.8173374613003096,1.8240740740740742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
T4T5_cd_L,100.0,0,3504,2.0,1.0,17.0,19.0,18.0,9.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.863565891472868,1.1594427244582044,6.796296296296297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
T4T5_cd_L,100.0,1,3491,0.0,0.0,26.0,20.0,13.0,7.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8263565891472868,1.1021671826625388,6.4907407407407405,0.0,0.07407407407407407,0.0,0.0,0.0,0.014705882352941176,0.0,32
T4T5_cd_L,100.0,2,3520,1.0,0.0,20.0,17.0,15.0,10.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8186046511627907,1.1362229102167183,6.62037037037037,0.0,0.037037037037037035,0.0,0.0,0.0,0.029411764705882353,0.0,24
T4T5_cd_L,100.0,3,3503,2.0,0.0,14.0,19.0,13.0,12.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7875968992248061,1.2662538699690402,6.657407407407407,0.0,0.07407407407407407,0.0,0.0,0.0,0.014705882352941176,0.0,25
T4T5_abcd_R,50.0,0,4434,22.0,53.0,0.0,13.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4868217054263566,1.8653250773993808,0.0,10.284313725490197,0.0,0.0,0.0,0.0,0.0,0.25,18
T4T5_abcd_R,50.0,1,4371,19.0,50.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3643410852713178,1.7399380804953561,0.0,9.735294117647058,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,23
T4T5_abcd_R,50.0,2,4375,18.0,48.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3457364341085271,1.7136222910216719,0.0,9.676470588235293,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,39
T4T5_abcd_R,50.0,3,4411,17.0,50.0,0.0,15.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4263565891472868,1.8390092879256965,0.0,9.519607843137255,0.0,0.0,0.0,0.0,0.0,0.2638888888888889,21
T4T5_abcd_R,100.0,0,6527,62.0,101.0,35.0,25.0,11.0,20.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4046511627906977,4.419504643962848,0.0,46.22549019607843,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,71
T4T5_abcd_R,100.0,1,6589,71.0,113.0,27.0,24.0,13.0,18.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4263565891472867,4.431888544891641,0.0,46.35294117647059,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,70
T4T5_abcd_R,100.0,2,6550,63.0,101.0,24.0,26.0,13.0,17.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2930232558139534,4.359133126934984,0.0,46.51960784313726,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,66
T4T5_abcd_R,100.0,3,6562,68.0,108.0,28.0,24.0,11.0,16.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33953488372093,4.3885448916408665,0.0,45.931372549019606,0.0,0.0,0.0,0.0,0.0,0.7638888888888888,75
LPLC2_L,50.0,0,226,77.0,81.0,0.0,8.0,0.0,17.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1054263565891473,1.001547987616099,49.18518518518518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
LPLC2_L,50.0,1,209,78.0,71.0,0.0,9.0,0.0,19.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0728682170542636,0.9520123839009288,49.00925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
LPLC2_L,50.0,2,201,81.0,79.0,0.0,5.0,0.0,12.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0713178294573644,0.9024767801857585,49.907407407407405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
LPLC2_L,50.0,3,212,78.0,75.0,0.0,12.0,0.0,19.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0930232558139534,1.0170278637770898,49.80555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
LPLC2_L,100.0,0,341,111.0,101.0,0.0,33.0,0.0,27.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.924031007751938,1.848297213622291,98.36111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
LPLC2_L,100.0,1,397,105.0,95.0,0.0,36.0,0.0,27.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9829457364341085,2.021671826625387,98.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
LPLC2_L,100.0,2,321,116.0,94.0,0.0,34.0,0.0,27.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9364341085271317,1.8498452012383901,98.76851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
LPLC2_L,100.0,3,354,115.0,98.0,0.0,39.0,0.0,28.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9813953488372094,1.9489164086687307,99.19444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
LC4_L,50.0,0,133,45.0,38.0,0.0,2.0,0.0,11.0,0.0,0.0,57.0,0.0,82.0,0.0,0.0,0.0,0.9131782945736434,0.40092879256965946,0.0,0.0,49.370370370370374,0.0,0.0,0.0,0.0,0.0,10
LC4_L,50.0,1,133,39.0,36.0,0.0,4.0,0.0,11.0,0.0,0.0,54.0,0.0,82.0,0.0,0.0,0.0,0.8992248062015504,0.37925696594427244,0.0,0.0,48.2962962962963,0.0,0.0,0.0,0.0,0.0,21
LC4_L,50.0,2,155,39.0,34.0,0.0,6.0,0.0,14.0,0.0,0.0,57.0,0.0,80.0,0.0,0.0,0.0,0.8666666666666667,0.38235294117647056,0.0,0.0,49.2037037037037,0.0,0.0,0.0,0.0,0.0,12
LC4_L,50.0,3,142,47.0,35.0,0.0,6.0,0.0,14.0,0.0,0.0,57.0,0.0,81.0,0.0,0.0,0.0,0.951937984496124,0.456656346749226,0.0,0.0,50.18518518518518,0.0,0.0,0.0,0.0,0.0,11
LC4_L,100.0,0,174,88.0,47.0,0.0,13.0,0.0,28.0,0.0,1.0,92.0,0.0,125.0,0.0,0.0,0.0,1.4186046511627908,0.7229102167182663,0.0,0.0,100.64814814814815,0.0,0.0,0.0,0.0,0.0,12
LC4_L,100.0,1,182,87.0,49.0,0.0,12.0,0.0,28.0,0.0,0.0,90.0,0.0,122.0,0.0,0.0,0.0,1.4,0.7476780185758514,0.0,0.0,97.20370370370371,0.0,0.0,0.0,0.0,0.0,19
LC4_L,100.0,2,181,85.0,49.0,0.0,13.0,0.0,33.0,0.0,1.0,91.0,0.0,125.0,0.0,0.0,0.0,1.4310077519379845,0.7801857585139319,0.0,0.0,98.55555555555556,0.0,0.0,0.0,0.0,0.0,21
LC4_L,100.0,3,181,89.0,51.0,0.0,16.0,0.0,34.0,0.0,1.0,94.0,0.0,123.0,0.0,0.0,0.0,1.4108527131782946,0.8328173374613003,0.0,0.0,98.31481481481481,0.0,0.0,0.0,0.0,0.0,24
