cond,az,trial,min_dist,final_y,final_x,final_yaw,peak_turn,mean_abs_turn,peak_gf,max_active
nobrain,30,0,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
nobrain,-30,0,3.572809025293315e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,30,0,1.878548849872199,-2.3688090937685096,-1.0566423231296729,-68.65617925006858,1.0,0.16153065733653357,0.8312704136966783,184
real,30,1,1.8924953916853335,-2.3811487796172353,-1.0727139670512167,-69.29131428571161,1.0,0.16286926709051835,0.7726541649778733,202
real,30,2,1.8162900731082499,-2.310388982444439,-1.010868941268093,-67.6933538587091,1.0,0.16530464835801678,0.918805075408278,218
real,30,3,1.977464070339878,-2.455752327451153,-1.1580846448782116,-74.94829345018002,1.0,0.1752590709861597,0.8664045276424315,195
real,30,4,1.898520402824896,-2.3741967819696246,-1.1681716882097077,-71.56784528486735,1.0,0.16903802453519923,0.8615260382603844,228
real,30,5,2.148920191724722,-2.5683553993593646,-1.4486239103686773,-85.96139445427164,1.0,0.20095902478601768,0.8945661416473808,201
real,30,6,2.0208218286078883,-2.4888373743436363,-1.2238476286597122,-76.35551445621977,1.0,0.17904607476578335,0.8548408851799604,193
real,30,7,2.0113323215899395,-2.46398051388529,-1.2995656671154,-80.52858705104715,1.0,0.18878805180094121,0.8534651443629039,190
real,30,8,2.0943845443265388,-2.5267039731331433,-1.3939704902610575,-81.66802879164737,1.0,0.19184819231043215,0.8085512592415853,201
real,30,9,1.9147589522262185,-2.397121155974548,-1.1250452363173271,-70.33769519762589,1.0,0.16557516836156191,0.7239334526655509,173
real,-30,0,1.8412416833599405,2.318713965920521,-1.151004169095397,75.75995120198111,1.0,0.17787585771984415,0.9701363278611214,253
real,-30,1,1.8067071823698093,2.294997533159552,-1.0691587671476608,71.66765654470916,1.0,0.16850094608794355,0.8696636148680448,219
real,-30,2,1.834748607619044,2.3136015081255588,-1.1417014073389606,74.60845662179781,1.0,0.1753768005711564,0.9729849713070271,227
real,-30,3,1.7471789698674578,2.240583038177344,-1.014164635955737,68.95319781465895,1.0,0.1623364166488667,0.9083481726692452,229
real,-30,4,1.8258390861639737,2.3061684139730945,-1.1311266045370472,72.43405658459577,1.0,0.17077780205101448,0.8979018392962353,246
real,-30,5,1.8677486706814626,2.344416690444649,-1.158632374405988,75.60327638604345,1.0,0.17765489195650175,0.9454739204971938,228
