t,x,y,z,yaw,roll,turn,gf,drive,nact,DNp01_left,DNp01_right,DNa02_left,DNa02_right,DNa01_left,DNa01_right,DNb01_left,DNb01_right,DNp03_left,DNp03_right,DNp11_left,DNp11_right,DNg02_left,DNg02_right,DN_all_left,DN_all_right
7.060000000000692,4.378652395499886,-2.573482465060368,2.076173136244405,-44.13371259681155,-0.1687868514952159,9.306682052638408e-10,2.3227202960894074e-09,0.0,0,2.1796393832364138e-07,2.4658012089424004e-07,0.0,1.3082539273258263e-32,0.0,7.74483232337755e-09,0.0,0.0,1.7686550311632478e-11,0.0,9.617283343459416e-08,0.0,0.0,0.0,3.329882482395833e-09,2.0642316729474854e-09
7.080000000000699,4.391930595918531,-2.5897300633953306,2.074256497191766,-44.13622657358582,-0.14775548542615335,6.204454701758937e-10,1.548480197392938e-09,0.0,0,1.453092922157609e-07,1.6438674726282668e-07,0.0,8.721692848838841e-33,0.0,5.163221548918367e-09,0.0,0.0,1.1791033541088317e-11,0.0,6.411522228972943e-08,0.0,0.0,0.0,2.2199216549305552e-09,1.376154448631657e-09
7.100000000000706,4.405229476387584,-2.605950224205451,2.0723495691623275,-44.13845543279971,-0.1276600203536102,4.1363031345059585e-10,1.032320131595292e-09,0.0,0,9.687286147717394e-08,1.0959116484188445e-07,0.0,5.814461899225894e-33,0.0,3.4421476992789113e-09,0.0,0.0,7.860689027392212e-12,0.0,4.2743481526486284e-08,0.0,0.0,0.0,1.4799477699537034e-09,9.174362990877713e-10
7.120000000000712,4.418548034551579,-2.622144356537319,2.0704546411100035,-44.1404314240557,-0.10865886948724071,2.757535423003972e-10,6.88213421063528e-10,0.0,0,6.458190765144929e-08,7.306077656125629e-08,0.0,3.8763079328172627e-33,0.0,2.2947651328526076e-09,0.0,0.0,5.240459351594807e-12,0.0,2.8495654350990854e-08,0.0,0.0,0.0,9.866318466358022e-10,6.116241993918475e-10
7.140000000000719,4.431885322922821,-2.6383137968275143,2.0685738280352273,-44.14218316801856,-0.09087077811614507,1.8383569486693147e-10,4.588089473756852e-10,0.0,0,4.305460510096619e-08,4.8707184374170855e-08,0.0,2.5842052885448417e-33,0.0,1.5298434219017384e-09,0.0,0.0,3.4936395677298714e-12,0.0,1.899710290066057e-08,0.0,0.0,0.0,6.577545644238681e-10,4.0774946626123165e-10
7.160000000000726,4.445240453465044,-2.654459803022094,2.066709079606671,-44.143736063311515,-0.0743789438838423,1.2255712991128762e-10,3.058726315837901e-10,0.0,0,2.870307006731079e-08,3.247145624944723e-08,0.0,1.722803525696561e-33,0.0,1.019895614601159e-09,0.0,0.0,2.3290930451532474e-12,0.0,1.2664735267107045e-08,0.0,0.0,0.0,4.3850304294924535e-10,2.7183297750748775e-10
7.1800000000007325,4.458612600588342,-2.670583550635341,2.064862188452719,-44.14511264723511,-0.05923505315451377,8.170475327419175e-11,2.0391508772252672e-10,0.0,0,1.913538004487386e-08,2.1647637499631486e-08,0.0,1.1485356837977072e-33,0.0,6.799304097341059e-10,0.0,0.0,1.5527286967688314e-12,0.0,8.443156844738029e-09,0.0,0.0,0.0,2.9233536196616355e-10,1.8122198500499183e-10
7.200000000000739,4.472001002746154,-2.686686130525812,2.063034798127872,-44.14633291581216,-0.045463186033618146,5.4469835516127824e-11,1.3594339181501782e-10,0.0,0,1.2756920029915907e-08,1.4431758333087657e-08,0.0,7.656904558651381e-34,0.0,4.5328693982273727e-10,0.0,0.0,1.0351524645125542e-12,0.0,5.628771229825352e-09,0.0,0.0,0.0,1.948902413107757e-10,1.2081465666999455e-10
7.220000000000746,4.485404962818038,-2.7027685481743315,2.061228410760515,-44.147414607952115,-0.03306355159795514,3.631322367741855e-11,9.062892787667854e-11,0.0,0,8.50461335327727e-09,9.621172222058438e-09,0.0,5.10460303910092e-34,0.0,3.0219129321515816e-10,0.0,0.0,6.901016430083694e-13,0.0,3.752514153216901e-09,0.0,0.0,0.0,1.2992682754051713e-10,8.054310444666303e-11
7.2400000000007525,4.498823847453276,-2.718831724257525,2.059444394389681,-44.148373457911916,-0.022016023116893216,2.42088157849457e-11,6.041928525111902e-11,0.0,0,5.66974223551818e-09,6.414114814705625e-09,0.0,3.4030686927339465e-34,0.0,2.0146086214343877e-10,0.0,0.0,4.600677620055795e-13,0.0,2.5016761021446006e-09,0.0,0.0,0.0,8.661788502701142e-11,5.3695402964442015e-11
7.260000000000759,4.512257085540097,-2.734876496321209,2.057683989999267,-44.149223419698096,-0.012283450499658361,1.6139210523297133e-11,4.0279523500746015e-11,0.0,0,3.77982815701212e-09,4.276076543137083e-09,0.0,2.268712461822631e-34,0.0,1.3430724142895917e-10,0.0,0.0,3.0671184133705303e-13,0.0,1.6677840680964003e-09,0.0,0.0,0.0,5.774525668467428e-11,3.579693530962801e-11
