cond,az,trial,min_dist,final_y,final_x,final_yaw,peak_turn,mean_abs_turn,peak_gf,max_active
rand3,30,0,0.13468611497510516,0.25740595594870613,-0.016215540086511125,10.636947392013958,0.1674942765828881,0.025396824247892476,0.0,594
rand3,30,1,0.15834974083889122,0.2881975224646061,-0.019684843104139975,11.762638723236371,0.3010051997610768,0.028174595201164564,0.0,614
rand3,30,2,0.17166239280749726,0.31251881319959013,-0.0231147847735054,12.609970812406567,0.28514494046761235,0.030158725123189956,0.0,615
rand3,30,3,0.1741343937685487,0.316140383309855,-0.023618687971394773,12.77095398988591,0.2823438922358384,0.030555548076443253,0.0,608
rand3,30,4,0.15400148649004416,0.26280394012905595,-0.01564904642067772,9.65644026138618,0.11797327141363452,0.023015872815489797,0.0,609
rand3,30,5,0.16017145624144247,0.2822232919000096,-0.018442519181741744,10.65378327627831,0.1711411586521842,0.025396825260368,0.0,594
rand3,30,6,0.15599946608724596,0.27115946707184285,-0.016787099007057705,10.152258475204992,0.10622333625135218,0.02420634895715464,0.0,604
rand3,30,7,0.14605856036108242,0.25580085001518116,-0.01505828399771415,9.651672211963167,0.10327736086293607,0.02301587264661567,0.0,604
rand3,30,8,0.15410130638014,0.2673699274628028,-0.0164508954922654,9.985851491904137,0.13065785222937815,0.023809523452176528,0.0,623
rand3,30,9,0.1752216014004133,0.32640319440813664,-0.025747857538527482,13.442035789462874,0.28524198222305064,0.03214285210560322,0.0,616
rand3,-30,0,1.6158399845561466,2.094612814606852,-1.1269074539296111,76.70583775095528,0.7556785925913349,0.1809523809523795,0.0,363
rand3,-30,1,1.5316788853881296,2.021701792252693,-1.0402793100429986,74.72506262410204,0.7286755291894625,0.17619047619047296,0.0,360
rand3,-30,2,1.5779944554667282,2.06788169551823,-1.0442419590771679,72.61476074322735,0.7073299073034784,0.17142857142857085,0.0,336
rand3,-30,3,1.5116774107251183,2.007727659758336,-0.9750046718785403,70.58574471876122,0.6848084074777971,0.16666666666666544,0.0,339
rand3,-30,4,1.5385289468878016,2.0324059585962346,-1.002981359351411,70.52131540705501,0.7453536308229932,0.1666666666666661,0.0,338
rand3,-30,5,1.5594133919141118,2.0489808626825963,-1.0458293815548452,74.81155784081133,0.8268179508771425,0.17619047619047526,0.0,360
rand3,-30,6,1.570061479000729,2.05918991296922,-1.0503273367176174,72.53447648010072,0.7133892404437808,0.17142857142857018,0.0,352
rand3,-30,7,1.5556574729187786,2.0438618823036476,-1.0570245707007033,74.67608831446289,0.794531692193971,0.1761904761904736,0.0,357
rand3,-30,8,1.5508237147349817,2.042172782824059,-1.029429837965995,72.61282497430116,0.7029900954091023,0.17142857142857007,0.0,331
rand3,-30,9,1.5707282591950609,2.054633990318418,-1.090041833482807,76.79903099886184,0.804563738084734,0.1809523809523784,0.0,369
