cond,az,trial,min_dist,final_y,final_x,final_yaw,peak_turn,mean_abs_turn,peak_gf,max_active
shuffle1,30,0,0.08827865267898528,0.19887912443176234,-0.01091878616156791,9.290518866879697,0.3226669059823683,0.022222221033103846,0.0,305
shuffle1,30,1,0.056667534539294635,0.1109584460001511,-0.003085647881737577,4.65469647505365,0.05421042465332944,0.011111110957121499,0.0,289
shuffle1,30,2,0.06004031667501324,0.11976686539965375,-0.003632001884674468,5.14965215566321,0.056953363548757685,0.012301586759883859,0.0,297
shuffle1,30,3,0.04543977739219813,0.11533895419178235,-0.004027254152434843,6.1087014476398735,0.3269884312339683,0.014682535832887197,0.0,278
shuffle1,30,4,0.07905066379626755,0.14808509579662887,-0.005314639394893572,5.988070305898105,0.06751372983892152,0.01428571358417737,0.0,298
shuffle1,30,5,0.058762607860039756,0.11180330145176733,-0.0030901207749604387,4.649055446591649,0.06676099190443881,0.011111110239164721,0.0,303
shuffle1,30,6,0.0539114467460058,0.11411298896561364,-0.0034196057487949206,5.144278655623627,0.06700757084086299,0.012301586281716586,0.0,294
shuffle1,30,7,0.052390364152838674,0.11452272763959556,-0.003515675456883483,5.30969211663031,0.06573401106467205,0.012698411232597902,0.0,284
shuffle1,30,8,0.055006193517334837,0.10840362636603425,-0.0029502920613119175,4.649004464010271,0.06363649482419485,0.011111110346741473,0.0,278
shuffle1,30,9,0.07548931797467365,0.16083825607466984,-0.006959590949474252,7.298807771791043,0.2990905809116821,0.01746031664334671,0.0,300
shuffle1,-30,0,1.1624438987024783,1.6600008931670263,-0.7937042933405258,72.68236546264905,1.0,0.1713817178452328,0.0,238
shuffle1,-30,1,1.131722468041089,1.6241841780583464,-0.7366029262441968,68.44242994582649,0.779753869416847,0.16190476189250336,0.0,255
shuffle1,-30,2,0.9714113871115377,1.4514754639203815,-0.5938402365058377,64.48490883968073,0.8434740144999237,0.1523809522995168,0.0,251
shuffle1,-30,3,1.1065311820983343,1.598787725154167,-0.7346272350820128,70.6760434466062,0.9049453261566607,0.16666666664849294,0.0,242
shuffle1,-30,4,1.13316948328303,1.6256732318988734,-0.7370957164740467,68.41007577136688,0.9865439486864834,0.1619047618904001,0.0,241
shuffle1,-30,5,1.0987626385554004,1.5725158795867182,-0.6273156944992551,60.30111555987879,0.7005820669676763,0.14285714285093232,0.0,236
shuffle1,-30,6,1.140679529393382,1.635720672519504,-0.7612913893030231,70.58552095922268,0.907801220739687,0.1666666666592391,0.0,247
shuffle1,-30,7,1.1041944503186418,1.5930800387427637,-0.7075779093811563,68.53827879220809,1.0,0.16160875295585095,0.0,244
shuffle1,-30,8,1.1252967616118894,1.6192357906267003,-0.7505858065240144,70.41937573681076,1.0,0.16647519755202958,0.0,254
shuffle1,-30,9,1.1286083497119275,1.6104399932353375,-0.6645514830892386,62.34779907207465,0.8058765630739576,0.14761904761707773,0.0,221
