cond,bridge,az,trial,min_dist,final_y,final_yaw,peak_turn,peak_gf,max_active,total_yaw
nobrain,-,30,0,3.572809025293315e-13,0.0,0.0,0.0,0.0,0,
nobrain,-,-30,0,3.572809025293315e-13,0.0,0.0,0.0,0.0,0,
real,dn,30,0,1.7002574923205753,-2.2001968606994167,-43.506167893783704,1.0,0.6974495625092927,10922,
real,dn,30,1,1.6846913698024915,-2.175484928893938,-42.94142179755117,1.0,0.9629629629629629,10950,
real,dn,30,2,1.6568617943778052,-2.154840542273917,-48.8919754303471,1.0,1.0,10902,
real,dn,30,3,1.593610174157024,-2.0307373823364583,-22.38842073474735,1.0,0.8465935070873343,3979,
real,dn,30,4,2.12236295794963,-2.532659037516223,-78.02627000815627,1.0,1.0,11142,
real,dn,-30,0,2.154941891140506,2.4720618019835747,100.38212754988872,1.0,1.0,11068,
real,dn,-30,1,2.107499888521083,2.467862032237416,95.68067937318628,1.0,1.0,11085,
real,dn,-30,2,2.5847266001735667,2.5674712536339097,115.76354077847998,1.0,1.0,11049,
real,dn,-30,3,2.1836177313052856,2.4566861448368362,106.50485455690578,0.9454148813991848,1.0,11048,
real,dn,-30,4,1.9858267541943824,2.384774567899313,91.10692899969808,1.0,1.0,10989,
real,dn,opto,0,1000000000.0,-2.4925336860726426,18.32468928166926,1.0,0.0,6641,18.32468928166926
real,dn,opto,1,1000000000.0,-2.4516368358610783,19.770891118284343,1.0,0.0,6484,19.770891118284343
real,dn,opto,2,1000000000.0,-2.302530526297188,23.49713989714803,1.0,0.0,7155,23.49713989714803
real,mn,30,0,0.6834420874545629,-1.0177595504418457,-46.68461205020522,0.5604091620843383,0.49174231384092026,10586,
real,mn,30,1,1.0749083312029026,-1.544414517997111,-78.77200886819844,0.7995291958252972,0.5779369894258432,10900,
real,mn,30,2,0.774912462891589,-1.1041168745037089,-48.72205535892272,0.5796871740401985,0.39231824417009603,11971,
real,mn,30,3,0.9426285485875084,-1.3566729058000098,-62.2790856869238,0.6752412154776486,0.536529201116135,11019,
real,mn,30,4,0.7667783070561718,-1.0737148744357,-46.60166387743665,0.7058548003092563,0.3827160493827161,11950,
real,mn,-30,0,1.6436772554986643,-2.113325396200001,-86.51626502980314,0.5816363209238147,0.4256984192306257,11849,
real,mn,-30,1,1.5857631084205595,-2.0261037729073146,-80.93052275492252,0.6258517210604341,0.4122974140121549,11741,
real,mn,-30,2,1.542518734651656,-1.9392847688496948,-74.4516650669128,0.7178278021454875,0.4858830054172912,11800,
real,mn,-30,3,1.699709602319459,-2.2006112490462604,-113.27430103270493,0.9353482792832788,0.38872526241848976,11823,
real,mn,-30,4,0.9735682148162261,-1.3039012542438764,-50.76784743564224,0.7719189876300657,0.8620634360052309,4967,
real,mn,opto,0,1000000000.0,-0.14168625366406154,-131.3820791049164,0.9726667682771938,0.0842967516619907,14873,-131.3820791049164
real,mn,opto,1,1000000000.0,-0.31805710066127857,-114.72772474416641,1.0,0.08334447143184524,9982,-114.72772474416641
real,mn,opto,2,1000000000.0,-0.3228968903365435,-90.47343402246769,1.0,0.14215694870387896,10008,-90.47343402246769
nobrain,-,opto,0,1000000000.0,0.0,90.08820272018525,0.0,0.0,0,
