stim,trial,group,neuron,rate
LPLC2_L,0,DN_all_left,3722,39.0
LPLC2_L,0,DN_all_left,3768,14.0
LPLC2_L,0,DN_all_left,3788,28.0
LPLC2_L,0,DN_all_left,3939,47.0
LPLC2_L,0,DN_all_left,3966,25.0
LPLC2_L,0,DN_all_left,4017,6.0
LPLC2_L,0,DN_all_left,4057,10.0
LPLC2_L,0,DN_all_left,4215,1.0
LPLC2_L,0,DN_all_left,4335,90.0
LPLC2_L,0,DN_all_left,4591,1.0
LPLC2_L,0,DN_all_left,4609,28.0
LPLC2_L,0,DN_all_left,4685,6.0
LPLC2_L,0,DN_all_left,4917,47.0
LPLC2_L,0,DN_all_left,5056,19.0
LPLC2_L,0,DN_all_left,5067,56.0
LPLC2_L,0,DN_all_left,5129,1.0
LPLC2_L,0,DN_all_left,5262,23.0
LPLC2_L,0,DN_all_left,5300,1.0
LPLC2_L,0,DN_all_left,5338,2.0
LPLC2_L,0,DN_all_left,5579,2.0
LPLC2_L,0,DN_all_left,5616,1.0
LPLC2_L,0,DN_all_left,5678,14.0
LPLC2_L,0,DN_all_left,5867,55.0
LPLC2_L,0,DN_all_left,5993,4.0
LPLC2_L,0,DN_all_left,6490,48.0
LPLC2_L,0,DN_all_left,6736,16.0
LPLC2_L,0,DN_all_left,8234,1.0
LPLC2_L,0,DN_all_left,8764,13.0
LPLC2_L,0,DN_all_left,8870,9.0
LPLC2_L,0,DN_all_left,8977,10.0
LPLC2_L,0,DN_all_left,9207,2.0
LPLC2_L,0,DN_all_left,9402,9.0
LPLC2_L,0,DN_all_left,10086,17.0
LPLC2_L,0,DN_all_left,10532,3.0
LPLC2_L,0,DN_all_left,11249,14.0
LPLC2_L,0,DN_all_left,12085,4.0
LPLC2_L,0,DN_all_left,12839,3.0
LPLC2_L,0,DN_all_left,12883,100.0
LPLC2_L,0,DN_all_left,13746,4.0
LPLC2_L,0,DN_all_left,14132,8.0
LPLC2_L,0,DN_all_left,14329,19.0
LPLC2_L,0,DN_all_left,14442,6.0
LPLC2_L,0,DN_all_left,15020,2.0
LPLC2_L,0,DN_all_left,15054,1.0
LPLC2_L,0,DN_all_left,15782,14.0
LPLC2_L,0,DN_all_left,17045,12.0
LPLC2_L,0,DN_all_left,17402,4.0
LPLC2_L,0,DN_all_left,19578,16.0
LPLC2_L,0,DN_all_left,21341,1.0
LPLC2_L,0,DN_all_left,23287,11.0
LPLC2_L,0,DN_all_left,28642,13.0
LPLC2_L,0,DN_all_left,28804,27.0
LPLC2_L,0,DN_all_left,33318,1.0
LPLC2_L,0,DN_all_left,49995,6.0
LPLC2_L,0,DN_all_left,53674,8.0
LPLC2_L,0,DN_all_left,53936,2.0
LPLC2_L,0,DN_all_left,60324,25.0
LPLC2_L,0,DN_all_left,60365,2.0
LPLC2_L,0,DN_all_left,116552,10.0
LPLC2_L,0,DN_all_left,120436,4.0
LPLC2_L,0,DN_all_left,124448,7.0
LPLC2_L,0,DN_all_left,124813,3.0
LPLC2_L,0,DN_all_left,124969,3.0
LPLC2_L,0,DN_all_left,125112,4.0
LPLC2_L,0,DN_all_left,125333,4.0
LPLC2_L,0,DN_all_left,126100,44.0
LPLC2_L,0,DN_all_left,126526,3.0
LPLC2_L,0,DN_all_left,127958,20.0
LPLC2_L,0,DN_all_left,128725,32.0
LPLC2_L,0,DN_all_left,128862,21.0
LPLC2_L,0,DN_all_left,128890,151.0
LPLC2_L,0,DN_all_left,128964,8.0
LPLC2_L,0,DN_all_left,129107,11.0
LPLC2_L,0,DN_all_left,129520,16.0
LPLC2_L,0,DN_all_left,130496,15.0
LPLC2_L,0,DN_all_left,130618,7.0
LPLC2_L,0,DN_all_left,132535,17.0
LPLC2_L,0,DN_all_left,132582,5.0
LPLC2_L,0,DN_all_left,133364,21.0
LPLC2_L,0,DN_all_left,133740,245.0
LPLC2_L,0,DN_all_left,135657,46.0
LPLC2_L,0,DN_all_left,139863,1.0
LPLC2_L,0,DN_all_left,140913,9.0
LPLC2_L,0,DN_all_left,141026,74.0
LPLC2_L,0,DN_all_left,142108,97.0
LPLC2_L,0,DN_all_left,142174,4.0
LPLC2_L,0,DN_all_left,144939,1.0
LPLC2_L,0,DN_all_right,0,23.0
LPLC2_L,0,DN_all_right,19,1.0
LPLC2_L,0,DN_all_right,25,29.0
LPLC2_L,0,DN_all_right,45,1.0
LPLC2_L,0,DN_all_right,51,27.0
LPLC2_L,0,DN_all_right,52,31.0
LPLC2_L,0,DN_all_right,117,3.0
LPLC2_L,0,DN_all_right,215,39.0
LPLC2_L,0,DN_all_right,243,50.0
LPLC2_L,0,DN_all_right,259,3.0
LPLC2_L,0,DN_all_right,261,6.0
LPLC2_L,0,DN_all_right,281,1.0
LPLC2_L,0,DN_all_right,311,11.0
LPLC2_L,0,DN_all_right,327,22.0
LPLC2_L,0,DN_all_right,378,6.0
LPLC2_L,0,DN_all_right,397,1.0
LPLC2_L,0,DN_all_right,428,3.0
LPLC2_L,0,DN_all_right,467,1.0
LPLC2_L,0,DN_all_right,505,5.0
LPLC2_L,0,DN_all_right,545,27.0
LPLC2_L,0,DN_all_right,616,9.0
LPLC2_L,0,DN_all_right,620,2.0
LPLC2_L,0,DN_all_right,624,4.0
LPLC2_L,0,DN_all_right,654,7.0
LPLC2_L,0,DN_all_right,667,1.0
LPLC2_L,0,DN_all_right,703,35.0
LPLC2_L,0,DN_all_right,762,75.0
LPLC2_L,0,DN_all_right,763,6.0
LPLC2_L,0,DN_all_right,777,2.0
LPLC2_L,0,DN_all_right,785,37.0
LPLC2_L,0,DN_all_right,794,5.0
LPLC2_L,0,DN_all_right,828,5.0
LPLC2_L,0,DN_all_right,853,22.0
LPLC2_L,0,DN_all_right,854,1.0
LPLC2_L,0,DN_all_right,886,88.0
LPLC2_L,0,DN_all_right,894,107.0
LPLC2_L,0,DN_all_right,902,1.0
LPLC2_L,0,DN_all_right,911,3.0
LPLC2_L,0,DN_all_right,987,1.0
LPLC2_L,0,DN_all_right,1021,54.0
LPLC2_L,0,DN_all_right,1048,17.0
LPLC2_L,0,DN_all_right,1069,1.0
LPLC2_L,0,DN_all_right,1089,1.0
LPLC2_L,0,DN_all_right,1092,6.0
LPLC2_L,0,DN_all_right,1108,6.0
LPLC2_L,0,DN_all_right,1150,1.0
LPLC2_L,0,DN_all_right,1165,73.0
LPLC2_L,0,DN_all_right,1166,2.0
LPLC2_L,0,DN_all_right,1168,3.0
LPLC2_L,0,DN_all_right,1198,2.0
LPLC2_L,0,DN_all_right,1210,40.0
LPLC2_L,0,DN_all_right,1218,2.0
LPLC2_L,0,DN_all_right,1222,20.0
LPLC2_L,0,DN_all_right,1242,34.0
LPLC2_L,0,DN_all_right,1269,40.0
LPLC2_L,0,DN_all_right,1277,87.0
LPLC2_L,0,DN_all_right,1315,1.0
LPLC2_L,0,DN_all_right,1329,1.0
LPLC2_L,0,DN_all_right,1382,8.0
LPLC2_L,0,DN_all_right,1384,2.0
LPLC2_L,0,DN_all_right,1400,5.0
LPLC2_L,0,DN_all_right,1405,16.0
LPLC2_L,0,DN_all_right,1412,1.0
LPLC2_L,0,DN_all_right,1457,3.0
LPLC2_L,0,DN_all_right,1468,3.0
LPLC2_L,0,DN_all_right,1492,8.0
LPLC2_L,0,DN_all_right,1502,3.0
LPLC2_L,0,DN_all_right,1575,4.0
LPLC2_L,0,DN_all_right,1581,33.0
LPLC2_L,0,DN_all_right,1593,2.0
LPLC2_L,0,DN_all_right,1621,17.0
LPLC2_L,0,DN_all_right,1648,37.0
LPLC2_L,0,DN_all_right,1653,7.0
LPLC2_L,0,DN_all_right,1699,17.0
LPLC2_L,0,DN_all_right,1708,26.0
LPLC2_L,0,DN_all_right,1748,3.0
LPLC2_L,0,DN_all_right,1756,1.0
LPLC2_L,0,DN_all_right,1789,39.0
LPLC2_L,0,DN_all_right,1804,11.0
LPLC2_L,0,DN_all_right,1837,29.0
LPLC2_L,0,DN_all_right,1909,1.0
LPLC2_L,0,DN_all_right,1954,7.0
LPLC2_L,0,DN_all_right,1965,7.0
LPLC2_L,0,DN_all_right,1995,2.0
LPLC2_L,0,DN_all_right,2033,43.0
LPLC2_L,0,DN_all_right,2037,3.0
LPLC2_L,0,DN_all_right,2070,43.0
LPLC2_L,0,DN_all_right,2079,20.0
LPLC2_L,0,DN_all_right,2094,16.0
LPLC2_L,0,DN_all_right,2120,7.0
LPLC2_L,0,DN_all_right,2238,3.0
LPLC2_L,0,DN_all_right,2289,1.0
LPLC2_L,0,DN_all_right,2321,1.0
LPLC2_L,0,DN_all_right,2331,3.0
LPLC2_L,0,DN_all_right,2350,38.0
LPLC2_L,0,DN_all_right,2420,1.0
LPLC2_L,0,DN_all_right,2433,20.0
LPLC2_L,0,DN_all_right,2458,11.0
LPLC2_L,0,DN_all_right,2495,5.0
LPLC2_L,0,DN_all_right,2595,1.0
LPLC2_L,0,DN_all_right,2600,110.0
LPLC2_L,0,DN_all_right,2606,8.0
LPLC2_L,0,DN_all_right,2607,104.0
LPLC2_L,0,DN_all_right,2613,27.0
LPLC2_L,0,DN_all_right,2636,7.0
LPLC2_L,0,DN_all_right,2639,1.0
LPLC2_L,0,DN_all_right,2659,12.0
LPLC2_L,0,DN_all_right,2752,4.0
LPLC2_L,0,DN_all_right,2841,7.0
LPLC2_L,0,DN_all_right,2985,1.0
LPLC2_L,0,DN_all_right,3020,37.0
LPLC2_L,0,DN_all_right,3059,3.0
LPLC2_L,0,DN_all_right,3067,1.0
LPLC2_L,0,DN_all_right,3220,191.0
LPLC2_L,0,DN_all_right,3270,1.0
LPLC2_L,0,DN_all_right,3278,10.0
LPLC2_L,0,DN_all_right,3348,24.0
LPLC2_L,0,DN_all_right,3374,42.0
LPLC2_L,0,DN_all_right,3383,3.0
LPLC2_L,0,DN_all_right,3385,1.0
LPLC2_L,0,DN_all_right,3406,1.0
LPLC2_L,0,DN_all_right,3491,15.0
LPLC2_L,0,DN_all_right,3593,11.0
LPLC2_L,0,DN_all_right,3625,9.0
LPLC2_L,0,DN_all_right,3694,2.0
LPLC2_L,0,DN_all_right,3754,40.0
LPLC2_L,0,DN_all_right,3828,1.0
LPLC2_L,0,DN_all_right,3853,17.0
LPLC2_L,0,DN_all_right,3862,5.0
LPLC2_L,0,DN_all_right,3865,1.0
LPLC2_L,0,DN_all_right,3868,1.0
LPLC2_L,0,DN_all_right,3945,28.0
LPLC2_L,0,DN_all_right,3997,1.0
LPLC2_L,0,DN_all_right,4020,7.0
LPLC2_L,0,DN_all_right,4078,23.0
LPLC2_L,0,DN_all_right,4098,92.0
LPLC2_L,0,DN_all_right,4479,3.0
LPLC2_L,0,DN_all_right,4514,19.0
LPLC2_L,0,DN_all_right,4641,44.0
LPLC2_L,0,DN_all_right,4645,50.0
LPLC2_L,0,DN_all_right,4680,1.0
LPLC2_L,0,DN_all_right,4801,1.0
LPLC2_L,0,DN_all_right,5027,22.0
LPLC2_L,0,DN_all_right,5124,49.0
LPLC2_L,0,DN_all_right,5348,4.0
LPLC2_L,0,DN_all_right,5381,1.0
LPLC2_L,0,DN_all_right,5458,49.0
LPLC2_L,0,DN_all_right,5739,9.0
LPLC2_L,0,DN_all_right,5841,3.0
LPLC2_L,0,DN_all_right,6169,2.0
LPLC2_L,0,DN_all_right,6278,11.0
LPLC2_L,0,DN_all_right,6427,7.0
LPLC2_L,0,DN_all_right,6570,26.0
LPLC2_L,0,DN_all_right,6701,2.0
LPLC2_L,0,DN_all_right,7801,9.0
LPLC2_L,0,DN_all_right,7850,4.0
LPLC2_L,0,DN_all_right,8815,4.0
LPLC2_L,0,DN_all_right,9254,107.0
LPLC2_L,0,DN_all_right,9458,69.0
LPLC2_L,0,DN_all_right,9780,89.0
LPLC2_L,0,DN_all_right,9912,16.0
LPLC2_L,0,DN_all_right,10368,5.0
LPLC2_L,0,DN_all_right,11239,13.0
LPLC2_L,0,DN_all_right,11504,7.0
LPLC2_L,0,DN_all_right,12150,11.0
LPLC2_L,0,DN_all_right,12336,2.0
LPLC2_L,0,DN_all_right,12572,15.0
LPLC2_L,0,DN_all_right,14496,14.0
LPLC2_L,0,DN_all_right,15028,3.0
LPLC2_L,0,DN_all_right,15460,7.0
LPLC2_L,0,DN_all_right,15893,21.0
LPLC2_L,0,DN_all_right,17700,6.0
LPLC2_L,0,DN_all_right,18221,10.0
LPLC2_L,0,DN_all_right,19450,17.0
LPLC2_L,0,DN_all_right,23535,6.0
LPLC2_L,0,DN_all_right,23861,5.0
LPLC2_L,0,DN_all_right,27054,12.0
LPLC2_L,0,DN_all_right,27379,3.0
LPLC2_L,0,DN_all_right,27532,5.0
LPLC2_L,0,DN_all_right,32032,16.0
LPLC2_L,0,DN_all_right,47173,27.0
LPLC2_L,0,DN_all_right,50694,2.0
LPLC2_L,0,DN_all_right,51855,8.0
LPLC2_L,0,DN_all_right,72835,11.0
LPLC2_L,0,DN_all_right,117981,7.0
LPLC2_L,0,DN_all_right,118808,8.0
LPLC2_L,0,DN_all_right,122432,3.0
LPLC2_L,0,DN_all_right,123333,2.0
LPLC2_L,0,DN_all_right,124419,2.0
LPLC2_L,0,DN_all_right,125376,3.0
