cond,bridge,az,trial,min_dist,final_y,final_yaw,peak_turn,peak_gf,max_active
shuffle1,dn,30,0,0.008097236929386168,0.015581059103781367,0.6650467063777193,0.27355457836010555,0.0,1267
shuffle1,dn,30,1,0.03873066392342053,0.06448484603270595,2.3865630060620435,0.27645913754131557,0.0,1254
shuffle1,dn,30,2,0.11607502599772103,0.2391618693722608,10.217739596845131,0.46328527702379635,0.0,1181
shuffle1,dn,30,3,0.03545228228227718,0.06630019190200594,2.6672268642707766,0.27946095004079224,0.0,1393
shuffle1,dn,30,4,0.05656139795622321,0.1051696376676971,4.235400566731261,0.2776673174086388,0.0,1237
shuffle1,dn,-30,0,0.07784135761199244,0.18948238181595015,9.677053570842624,0.3589984589070095,0.0,1279
shuffle1,dn,-30,1,0.029141467538670415,0.08716820883268978,4.899195747280536,0.35021333576578956,0.0,1297
shuffle1,dn,-30,2,0.06006277186055401,0.1365551090145177,6.876464482939195,0.2782059731340667,0.0,1334
shuffle1,dn,-30,3,0.04244246875516122,0.1328286760350558,7.4293095023719,0.3149412568673119,0.0,1266
shuffle1,dn,-30,4,0.021138905162139583,-0.07059459712304986,-3.9174167235030253,0.37286285719030826,0.0,1211
shuffle1,dn,opto,0,1000000000.0,-1.3156281121816644,43.592883821823726,0.7583413184497816,0.08333333333333334,9787
shuffle1,dn,opto,1,1000000000.0,-1.6106835132003434,37.29313395475956,1.0,0.0,6095
shuffle1,dn,opto,2,1000000000.0,-1.830106319158556,31.14967811079345,0.8568130755986758,0.0,3973
