t,x,y,z,yaw,wz,turn,gf,nact,DNp01_left,DNp01_right,DNa02_left,DNa02_right,DNa01_left,DNa01_right,DNb01_left,DNb01_right,DNp03_left,DNp03_right,DNp11_left,DNp11_right,DNg02_left,DNg02_right,DN_all_left,DN_all_right
0.02000000000000001,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04000000000000003,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060000000000000046,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08000000000000006,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10000000000000007,-1.4232374763716224e-10,4.6174413636760867e-07,2.0002938344164582,0.060669339587438226,5.670003982610409,-0.4166666666666667,0.41666666666666674,364,33.333333333333336,50.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,33.333333333333336,0.0,0.0,0.4573170731707317,0.9002057613168725
0.12000000000000009,-1.1585357752454339e-08,8.11291339992755e-06,2.001434273059369,0.3087510843279578,18.257034372111676,-0.9722222222222224,0.8611111111111112,1312,72.22222222222223,100.00000000000001,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,11.11111111111111,0.0,72.22222222222223,0.0,0.0,1.4227642276422765,1.9375857338820301
0.1400000000000001,-1.8095037719022277e-07,4.721613251425031e-05,2.0037370777361523,0.7865578582733311,28.786694070346456,-0.9259259259259259,1.0,916,81.48148148148148,133.33333333333334,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,7.4074074074074066,0.0,81.48148148148148,0.0,0.0,1.7107046070460705,2.114769090077732
0.16000000000000011,-1.183804303535404e-06,0.00016140887008041306,2.007182115443636,1.4729573349675449,39.13029022811041,-1.0,0.9660493827160493,1569,70.98765432098766,122.22222222222223,0.0,0.0,0.0,0.0,7.4074074074074066,0.0,0.0,21.60493827160494,0.0,87.65432098765432,0.0,0.0,1.699412827461608,2.2586114921505867
0.18000000000000013,-4.795910091185561e-06,0.0004076418848561464,2.011613516706647,2.328637789457521,45.96292011548144,-0.8281893004115226,0.8940329218106996,1651,63.991769547325106,114.81481481481482,0.0,0.0,0.0,0.0,4.93827160493827,0.0,0.0,14.40329218106996,0.0,75.1028806584362,0.0,0.0,2.1492020475760314,2.508827414520144
0.20000000000000015,-1.4325609233389703e-05,0.000847944047278763,2.0168178662021954,3.292670333028765,50.154061251576415,-0.6910150891632372,0.7626886145404664,2659,42.661179698216735,109.87654320987654,0.0,0.0,0.0,0.0,3.292181069958847,0.0,0.0,9.602194787379972,0.0,66.7352537722908,0.0,0.0,3.6177607146441835,3.9616462598858577
