t,x,y,z,yaw,wz,turn,gf,nact,DNp01_left,DNp01_right,DNa02_left,DNa02_right,DNa01_left,DNa01_right,DNb01_left,DNb01_right,DNp03_left,DNp03_right,DNp11_left,DNp11_right,DNg02_left,DNg02_right,DN_all_left,DN_all_right,MNsteer_left,MNsteer_right,TTMn_left,TTMn_right
0.02000000000000001,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04000000000000003,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060000000000000046,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08000000000000006,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10000000000000007,0.0,0.0,2.0,0.0,0.0,0.0,0.0,416,66.66666666666667,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,33.333333333333336,0.0,0.0,0.0,0.8892276422764228,0.5144032921810701,6.250000000000001,6.250000000000001,0.0,0.0
0.12000000000000009,-3.75954544591558e-12,7.315926305769482e-08,2.000176300711326,0.01011155669946644,0.9450006637684025,-0.06944444444444452,0.25,1452,94.44444444444446,38.88888888888889,0.0,0.0,0.0,0.0,0.0,16.666666666666668,22.22222222222222,0.0,55.55555555555556,0.0,0.0,0.0,1.7107046070460707,1.2945816186556929,10.416666666666668,11.458333333333336,33.333333333333336,16.666666666666668
0.1400000000000001,-1.62622262757757e-10,9.641307290107846e-07,2.000613747931595,0.02449440018234601,0.5228372919695432,0.023148148148148095,0.16666666666666663,857,96.2962962962963,25.925925925925927,0.0,0.0,0.0,0.0,0.0,11.11111111111111,14.814814814814813,0.0,70.37037037037038,0.0,0.0,0.0,1.9026648599819334,1.2745770461819845,7.986111111111112,7.63888888888889,22.22222222222222,11.11111111111111
0.16000000000000011,-1.0784947332092333e-09,3.789546203034319e-06,2.0012028596730977,0.052292841324316046,2.143548681447767,-0.12345679012345687,0.1111111111111111,1008,97.53086419753087,33.95061728395062,0.0,0.0,0.0,0.0,0.0,24.074074074074076,26.54320987654321,0.0,80.24691358024693,0.0,0.0,0.0,1.9036058416139718,1.5698826398414876,10.532407407407408,12.384259259259261,14.814814814814813,7.4074074074074066
0.18000000000000013,-5.111222495561646e-09,1.063369740239808e-05,2.001871705231669,0.1146584671467489,3.9654715406900825,-0.1517489711934156,0.07407407407407406,1113,81.6872427983539,22.63374485596708,0.0,0.0,0.0,0.0,0.0,16.049382716049383,51.028806584362144,0.0,103.49794238683128,0.0,0.0,0.0,2.4377697480678515,2.0239546817050247,12.22993827160494,14.506172839506174,9.87654320987654,4.93827160493827
0.20000000000000015,-2.1993454676348655e-08,2.581904309624423e-05,2.0025733450707603,0.203886616136138,4.892454385755182,-0.10116598079561048,0.049382716049382706,1332,87.79149519890261,15.089163237311386,0.0,0.0,0.0,0.0,0.0,27.366255144032927,50.68587105624143,0.0,85.66529492455419,0.0,0.0,0.0,3.3782286125330394,3.2525953022066423,9.194958847736626,10.712448559670783,6.584362139917694,3.292181069958847
0.22000000000000017,-7.809874940452051e-08,5.555434337705012e-05,2.0032774552739085,0.3460653242691997,9.035430746214633,-0.3452217649748514,0.032921810699588466,2148,91.8609967992684,10.05944215820759,0.0,0.0,0.0,0.0,0.0,34.91083676268862,33.79058070416095,0.0,90.44352994970279,0.0,0.0,1.1904761904761905,5.021461351444791,5.126215798178914,6.12997256515775,11.308299039780522,4.389574759945129,2.1947873799725643
0.24000000000000019,-2.4150377329331296e-07,0.00010934374529786695,2.003964730678245,0.549320155655006,11.142666231567809,-0.2301478433165676,0.021947873799725643,3896,61.2406645328456,6.706294772138393,0.0,0.0,0.0,0.0,0.0,23.273891175125744,22.527053802773967,0.0,60.29568663313519,0.0,2.2222222222222223,1.9841269841269842,7.082396998524169,6.7610985979628975,7.211648376771834,10.663866026520347,2.9263831732967525,1.4631915866483762
