t,x,y,z,yaw,wz,turn,gf,nact,DNp01_left,DNp01_right,DNa02_left,DNa02_right,DNa01_left,DNa01_right,DNb01_left,DNb01_right,DNp03_left,DNp03_right,DNp11_left,DNp11_right,DNg02_left,DNg02_right,DN_all_left,DN_all_right
0.02000000000000001,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04000000000000003,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060000000000000046,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08000000000000006,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10000000000000007,-2.592245322854166e-10,-6.308511929397277e-07,2.000352601233177,-0.08089245213326773,-7.560005310147211,0.5555555555555556,0.5,416,66.66666666666667,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,33.333333333333336,0.0,0.0,0.0,0.8892276422764228,0.5144032921810701
0.12000000000000009,-1.7345658951625795e-08,-1.0026174778430075e-05,2.001462550898803,-0.3577398476184723,-19.302708956050754,0.9259259259259259,0.6666666666666667,1452,94.44444444444446,38.88888888888889,0.0,0.0,0.0,0.0,0.0,16.666666666666668,22.22222222222222,0.0,55.55555555555556,0.0,0.0,0.0,1.7107046070460707,1.2945816186556929
0.1400000000000001,-2.189933516386269e-07,-5.231068106897795e-05,2.0033414267305987,-0.8506969958261935,-29.293788778168377,0.8950617283950618,0.6111111111111112,857,96.2962962962963,25.925925925925927,0.0,0.0,0.0,0.0,0.0,11.11111111111111,14.814814814814813,0.0,70.37037037037038,0.0,0.0,0.0,1.9026648599819334,1.2745770461819845
0.16000000000000011,-1.3051241084314144e-06,-0.00016869163099298643,2.005931773738765,-1.5466205823977923,-39.57988035567411,1.0,0.6574074074074074,1008,97.53086419753087,33.95061728395062,0.0,0.0,0.0,0.0,0.0,24.074074074074076,26.54320987654321,0.0,80.24691358024693,0.0,0.0,0.0,1.9036058416139718,1.5698826398414876
0.18000000000000013,-5.012222798382323e-06,-0.0004118918435389498,2.009113279604699,-2.435743023217794,-48.699528328980776,1.0,0.5216049382716049,1113,81.6872427983539,22.63374485596708,0.0,0.0,0.0,0.0,0.0,16.049382716049383,51.028806584362144,0.0,103.49794238683128,0.0,0.0,0.0,2.4377697480678515,2.0239546817050247
0.20000000000000015,-1.4747972564816614e-05,-0.0008442712748866353,2.012748925331759,-3.4960872548363766,-56.78500749571438,1.0,0.51440329218107,1332,87.79149519890261,15.089163237311386,0.0,0.0,0.0,0.0,0.0,27.366255144032927,50.68587105624143,0.0,85.66529492455419,0.0,0.0,0.0,3.3782286125330394,3.2525953022066423
