stim,trial,max_active,DNp01_left,DNp01_right,DNa02_left,DNa02_right,DNa01_left,DNa01_right,DNb01_left,DNb01_right,DNp03_left,DNp03_right,DNp11_left,DNp11_right,DNg02_left,DNg02_right,DN_all_left,DN_all_right,LPLC2_left,LPLC2_right,LC4_left,LC4_right,MN_all_left,MN_all_right,MNsteer_left,MNsteer_right,MNpower_left,MNpower_right,TTMn_left,TTMn_right,DNp06_left,DNp06_right,DNp09_left,DNp09_right,b1_left,b1_right,b2_left,b2_right,b3_left,b3_right,i1_left,i1_right,i2_left,i2_right,iii1_left,iii1_right,iii3_left,iii3_right,hg1_left,hg1_right,hg2_left,hg2_right,hg3_left,hg3_right,hg4_left,hg4_right,tp1_left,tp1_right,tp2_left,tp2_right,tpn_left,tpn_right,ps1_left,ps1_right,ps2_left,ps2_right
T4T5_abcd_L,0,18995,254.0,4.0,17.0,1.0,0.0,8.0,51.0,73.0,0.0,0.0,0.0,0.0,0.2,0.35714285714285715,14.509146341463415,10.901234567901234,221.5531914893617,0.0,0.0,0.0,13.684507042253522,13.201133144475921,19.4375,21.625,75.33333333333333,73.58333333333333,14.0,7.0,122.0,3.0,0.0,0.0,2.0,1.0,8.0,3.0,39.0,31.0,86.0,93.0,103.0,92.0,6.0,0.0,10.0,1.0,28.0,68.0,2.0,0.0,1.0,5.0,2.0,11.0,0.0,0.0,3.0,3.0,8.0,0.0,2.0,2.0,11.0,36.0
T4T5_abcd_L,1,19092,254.0,5.0,26.0,1.0,0.0,4.0,49.0,67.0,0.0,0.0,0.0,0.0,0.4,0.2857142857142857,14.685975609756097,10.912037037037036,220.93617021276594,0.0,0.0,0.0,14.247887323943662,13.835694050991501,18.5625,21.6875,77.25,77.41666666666667,17.0,10.0,129.0,1.0,0.0,0.0,2.0,1.0,9.0,5.0,30.0,19.0,85.0,88.0,103.0,89.0,3.0,0.0,11.0,1.0,34.0,69.0,0.0,0.0,1.0,6.0,2.0,14.0,0.0,0.0,2.0,8.0,4.0,0.0,1.0,3.0,10.0,44.0
T4T5_abcd_L,2,19103,258.0,9.0,28.0,1.0,0.0,5.0,57.0,70.0,0.0,0.0,0.0,0.0,2.6,3.357142857142857,14.050304878048781,9.649691358024691,220.54255319148936,0.0,0.0,0.0,14.487323943661972,13.909348441926346,13.9375,17.0,98.41666666666667,96.41666666666667,17.0,13.0,117.0,6.0,0.0,0.0,1.0,1.0,19.0,8.0,18.0,12.0,49.0,48.0,66.0,55.0,6.0,0.0,6.0,0.0,26.0,51.0,1.0,0.0,1.0,19.0,2.0,12.0,0.0,0.0,12.0,22.0,9.0,0.0,2.0,6.0,5.0,38.0
T4T5_abcd_L,3,12389,267.0,13.0,48.0,1.0,0.0,1.0,67.0,85.0,0.0,0.0,0.0,0.0,4.066666666666666,5.214285714285714,13.397865853658537,8.00925925925926,220.62765957446808,0.0,0.0,0.0,15.332394366197184,14.88385269121813,12.6875,16.6875,123.66666666666667,120.83333333333333,25.0,7.0,99.0,14.0,0.0,0.0,1.0,0.0,60.0,22.0,1.0,1.0,0.0,3.0,5.0,3.0,7.0,0.0,1.0,0.0,42.0,49.0,0.0,0.0,1.0,47.0,26.0,40.0,0.0,0.0,23.0,35.0,12.0,0.0,22.0,29.0,2.0,38.0
T4T5_a_L,0,13559,1.0,0.0,150.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.533333333333333,2.142857142857143,11.903963414634147,9.453703703703704,0.6063829787234043,0.0,0.0,0.0,13.450704225352112,12.461756373937677,29.625,19.0625,110.33333333333333,112.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,6.0,75.0,0.0,79.0,37.0,55.0,41.0,0.0,0.0,0.0,0.0,104.0,65.0,3.0,1.0,59.0,65.0,34.0,12.0,0.0,9.0,4.0,9.0,0.0,3.0,19.0,20.0,34.0,34.0
T4T5_a_L,1,13737,1.0,0.0,144.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.8666666666666667,2.5,11.698170731707316,9.152777777777779,0.5425531914893617,0.0,0.0,0.0,13.36338028169014,12.36827195467422,29.875,18.4375,109.91666666666667,111.91666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,9.0,86.0,0.0,89.0,36.0,52.0,39.0,0.0,0.0,0.0,1.0,95.0,55.0,1.0,1.0,57.0,63.0,33.0,13.0,4.0,12.0,9.0,11.0,0.0,2.0,12.0,18.0,32.0,31.0
T4T5_a_L,2,7336,1.0,0.0,145.0,0.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,8.8,10.142857142857142,10.975609756097562,6.927469135802469,0.4574468085106383,0.0,0.0,0.0,14.278873239436619,12.60056657223796,24.4375,17.4375,129.66666666666666,129.91666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,11.0,26.0,58.0,0.0,43.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,83.0,29.0,1.0,1.0,61.0,73.0,13.0,6.0,1.0,4.0,37.0,39.0,0.0,5.0,36.0,43.0,36.0,33.0
T4T5_a_L,3,13521,1.0,0.0,144.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.066666666666667,2.857142857142857,11.724085365853659,9.058641975308642,0.4787234042553192,0.0,0.0,0.0,13.343661971830986,12.30028328611898,28.375,18.4375,110.58333333333333,111.08333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,10.0,82.0,0.0,74.0,32.0,42.0,31.0,0.0,0.0,0.0,2.0,93.0,50.0,1.0,2.0,62.0,68.0,35.0,13.0,0.0,8.0,7.0,9.0,0.0,4.0,20.0,28.0,30.0,34.0
baseline,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
