t,x,y,z,roll,yaw,ox,oy,dist,drive,turn,gf,DNp01_left,DNp01_right,DNa02_left,DNa02_right,DNa01_left,DNa01_right,DNb01_left,DNb01_right,DNp03_left,DNp03_right,DNp11_left,DNp11_right,DNg02_left,DNg02_right,DN_all_left,DN_all_right,nact
0.02000000000000001,0.0,0.0,2.0,0.0,0.0,5.161511406555263,2.9800000000000018,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.04000000000000003,0.0,0.0,2.0,0.0,0.0,5.126870390403894,2.960000000000004,5.960000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.060000000000000046,0.0,0.0,2.0,0.0,0.0,5.0922293742525255,2.940000000000006,5.920000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08000000000000006,0.0,0.0,2.0,0.0,0.0,5.057588358101157,2.9200000000000084,5.880000000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.10000000000000007,-1.4262611619182612e-11,-1.3872231852569168e-07,2.0000587668939827,0.022161853704358046,-0.02022311338152255,5.022947341949788,2.9000000000000106,5.8400000000000345,20.048578480570114,0.1388888888888889,0.08333333333333334,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.1550387596899225,0.0,69
0.12000000000000009,-1.0027108756897282e-09,-2.2933870642498087e-06,2.0004396495596186,0.09664930920076256,-0.0894350222681268,4.988306325798419,2.8800000000000128,5.800000069671273,20.32544331899634,0.23148148148148148,0.38888888888888884,44.44444444444444,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,11.11111111111111,0.0,0.0,0.0,0.5426356589147286,0.3353973168214654,158
0.1400000000000001,-1.300771600119768e-08,-1.219339464635409e-05,2.0012780416293277,0.23711343890277906,-0.22278633167410017,4.95366530964705,2.860000000000015,5.760001164341092,20.607590174285917,0.2932098765432099,0.3425925925925926,46.2962962962963,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,24.074074074074076,0.0,0.0,0.0,0.7235142118863049,0.3009975920192638,144
0.16000000000000011,-8.18986642098649e-08,-4.0305990133490674e-05,2.0025497748673233,0.42453158846556227,-0.4065844777016328,4.919024293495681,2.840000000000017,5.72000625075086,20.894094985201026,0.19547325102880658,0.39506172839506176,47.53086419753087,31.48148148148148,0.0,0.0,0.0,0.0,0.0,0.0,7.4074074074074066,0.0,16.049382716049383,0.0,0.0,0.0,0.6890611541774333,0.3296640293544318,93
0.18000000000000013,-3.245508186670294e-07,-0.00010032402897233741,2.004222058791688,0.6475440750711976,-0.6334750234336793,4.8843832773443125,2.8200000000000194,5.680020796328499,21.183702028735688,0.26920438957476,0.3467078189300412,48.35390946502058,20.98765432098765,0.0,0.0,0.0,0.0,0.0,0.0,4.93827160493827,0.0,27.366255144032927,0.0,0.0,0.0,0.614412862474878,0.27137560677292355,100
0.20000000000000015,-9.747904506574554e-07,-0.00020925124854349216,2.006329682695538,0.8933279239505656,-0.8948358000895291,4.849742261192944,2.8000000000000216,5.640052024035853,21.475464998340573,0.17946959304983998,0.4811385459533608,48.90260631001372,47.325102880658434,0.0,0.0,0.0,0.0,0.0,0.0,3.292181069958847,0.0,18.24417009602195,0.0,0.0,0.0,0.6680065077997895,0.36151562639350737,123
0.22000000000000017,-2.411460261867297e-06,-0.0003860699437979014,2.0089278760567377,1.1551873810958058,-1.1869118585876883,4.815101245041575,2.780000000000024,5.600109049887132,21.768291225461972,0.25853528425544886,0.4874256973022405,49.26840420667581,48.21673525377229,0.0,0.0,0.0,0.0,0.0,0.0,2.1947873799725643,0.0,28.8294467306813,0.0,0.0,0.0,0.7295753979647176,0.4990083536121835,129
0.24000000000000019,-5.16723838148182e-06,-0.0006496992972765969,2.0119859243471794,1.4239111311145936,-1.5036765025375118,4.780460228890206,2.760000000000026,5.560202300974837,22.06133131135629,0.17235685617029925,0.491617131534827,49.51226947111721,48.811156835848195,0.0,0.0,0.0,0.0,0.0,0.0,1.4631915866483762,0.0,19.21963115378753,0.0,0.0,0.0,0.8223009113046438,0.4874709973513628,122
0.2600000000000002,-9.911005768527861e-06,-0.001017638675077141,2.015413346345648,1.6956822811313976,-1.8432770272246577,4.745819212738837,2.740000000000028,5.5203423651251535,22.354323453685033,0.2537934596690884,0.41107808768988463,49.67484631407814,32.540771223898794,0.0,0.0,0.0,0.0,0.0,0.0,0.9754610577655841,0.0,29.47975410252502,0.0,0.0,0.0,0.7032393672263516,0.3507804585025597,93
0.2800000000000002,-1.745229004282238e-05,-0.001506128866693329,2.0190912585508967,2.0079513498406483,-2.2415362183924343,4.711178196587468,2.7200000000000304,5.480539146704099,22.64747122920028,0.44697341755717007,0.3573853917932564,33.11656420938542,38.36051414926586,0.0,0.0,0.0,0.0,0.0,0.0,17.31697403851039,0.0,36.319836068350014,0.0,0.0,0.0,0.6755445910707977,0.38865240061161355,116
0.3000000000000002,-2.887401133121171e-05,-0.002133965217943068,2.0229376222609394,2.352689147737326,-2.694546522168181,4.6765371804361,2.7000000000000326,5.440801827636673,22.941017053487524,0.2979822783714467,0.32159026119550427,38.74437613959028,25.57367609951057,0.0,0.0,0.0,0.0,0.0,0.0,11.544649359006927,0.0,24.213224045566676,0.0,0.0,0.0,0.6312416136854413,0.2591016004077423,97
0.32000000000000023,-4.5499732685578725e-05,-0.002919442136640307,2.026836361157169,2.6836937499149682,-3.162796653985551,4.641896164284731,2.680000000000035,5.401141005575541,23.233960629075074,0.1986548522476311,0.21439350746366947,25.829584093060184,17.04911739967371,0.0,0.0,0.0,0.0,0.0,0.0,7.696432906004618,0.0,16.142149363711116,0.0,0.0,0.0,0.4983471223019221,0.1985341938734794,112
0.34000000000000025,-6.923737607423839e-05,-0.003889434020386079,2.0308946322191432,2.9739198070881616,-3.622364889121724,4.607255148133362,2.660000000000037,5.361566873164585,23.526318888005175,0.1324365681650874,0.476262338309113,50.55305606204013,44.69941159978248,0.0,0.0,0.0,0.0,0.0,0.0,5.1309552706697446,0.0,10.761432909140744,0.0,0.0,0.0,0.5906293476844855,0.2613550972572422,112
0.36000000000000026,-0.00010223722961375928,-0.005070519297158971,2.0352629712175454,3.2311433320674396,-4.079641381738653,4.572614131981993,2.640000000000039,5.322095394512908,23.814358579967628,0.22717993433228048,0.48417489220607535,50.36870404136008,46.46627439985499,0.0,0.0,0.0,0.0,0.0,0.0,3.4206368471131627,0.0,23.840955272760496,0.0,0.0,0.0,0.7555100043994761,0.38063508031803767,134
