root_id,baseline,LPLC2_L,LPLC2_R,LPLC2_both,LC4_L,LC4_R,LC4_LPLC2_L,cell_type,side
720575940624402173,0.0,11.0,19.5,20.25,1.25,0.25,14.25,DNpe053,left
720575940627055303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp53,left
720575940631082808,0.0,0.0,0.0,0.0,1.0,0.25,0.25,MDN,left
720575940623037720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge104,left
720575940629543409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg68,left
720575940618666142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg33,left
720575940638109668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg89,left
720575940630697078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg80,left
720575940610610841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg26,right
720575940618870881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe009,left
720575940608145026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe027,left
720575940619905916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge085,left
720575940625306603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge011,left
720575940612014131,0.0,12.75,0.0,6.75,0.0,0.0,12.0,DNg02_a,left
720575940620804566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge094,left
720575940624877360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg102,left
720575940614843275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg82,left
720575940611462885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg92_a,left
720575940614730914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg75,left
720575940626229337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge015,left
720575940612058543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge145,left
720575940632626402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge111,left
720575940639159797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg51,left
720575940611881139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge068,left
720575940622579967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg29,left
720575940621082111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge061,left
720575940625187940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge091,left
720575940621700789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg36_b,left
720575940633228172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg48,left
720575940637612974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge105,left
720575940618519454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge025,left
720575940625872688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg12_a,left
720575940620156283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp30,left
720575940624801771,0.0,24.0,4.75,28.25,0.0,0.0,19.5,DNpe040,left
720575940621947653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg64,right
720575940610604078,0.0,0.0,0.0,0.0,0.0,0.0,10.75,DNge136,right
720575940620300308,0.0,5.0,33.25,30.25,0.0,0.5,0.75,DNg97,right
720575940633228103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp30,right
720575940628487153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge085,right
720575940614129617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge019,right
720575940625870640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg15,right
720575940623338281,0.0,38.75,41.0,50.25,0.0,0.0,38.0,DNg98,right
720575940640325429,0.0,0.5,0.0,0.0,0.0,0.0,0.0,DNa06,right
720575940632836675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp41,right
720575940622204186,0.0,8.25,0.0,0.0,2.25,0.0,4.25,DNae003,right
720575940632512156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe038,right
720575940603980256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oviDNb,right
720575940621196037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe044,right
720575940641781133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg12_e,right
720575940615958203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg12_a,right
720575940605282406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg12_e,right
720575940627419676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge034,right
720575940615659521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge091,right
720575940614181585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg07,right
720575940625642302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge020,right
720575940612804606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg02_a,right
720575940637530084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge001,right
720575940627949589,0.0,32.25,0.0,0.25,34.25,0.0,57.0,DNp18,right
720575940623582867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp46,right
720575940604737708,0.0,29.5,0.0,0.25,12.0,0.0,7.25,DNa02,right
720575940620380449,0.0,18.75,0.0,0.25,32.25,0.0,39.0,DNae002,right
720575940625747812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp49,right
720575940633095137,0.0,0.0,30.5,2.0,0.0,0.0,0.0,DNp71,right
720575940623222712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg03,right
720575940622929193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg36_a,right
720575940647478148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg07,right
720575940623899082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge094,right
720575940623137212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge044,left
720575940637424547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg06,right
720575940626295396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg85,right
720575940624154604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge087,right
720575940627087646,0.0,25.25,30.5,39.5,8.75,0.0,29.25,DNg74_b,right
720575940631469452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge134,left
720575940631342073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge122,right
720575940631299855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg49,right
720575940610173048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg28,right
