t,x,y,z,roll,yaw,dist,drive,turn,gf,nact
0.02000000000000001,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0
0.04000000000000003,0.0,0.0,2.0,0.0,0.0,5.960000000000004,0.0,0.0,0.0,0
0.060000000000000046,0.0,0.0,2.0,0.0,0.0,5.920000000000009,0.0,0.0,0.0,0
0.08000000000000006,0.0,0.0,2.0,0.0,0.0,5.880000000000013,0.0,0.0,0.0,0
0.10000000000000007,0.0,0.0,2.0,0.0,0.0,5.840000000000018,20.048578480572502,0.0,0.0,0
0.12000000000000009,0.0,0.0,2.0,0.0,0.0,5.800000000000022,20.325478966007953,0.0,0.0,0
0.1400000000000001,0.0,0.0,2.0,0.0,0.0,5.760000000000026,20.608158571714373,0.0,0.0,0
0.16000000000000011,0.0,0.0,2.0,0.0,0.0,5.720000000000031,20.896779318353634,0.0,0.0,0
0.18000000000000013,0.0,0.0,2.0,0.0,0.0,5.680000000000035,21.191508947253308,0.0,0.0,0
0.20000000000000015,0.0,0.0,2.0,0.0,0.0,5.64000000000004,21.49252116463117,0.0,0.0,0
0.22000000000000017,0.0,0.0,2.0,0.0,0.0,5.600000000000044,21.799995898077857,0.0,0.0,0
0.24000000000000019,0.0,0.0,2.0,0.0,0.0,5.5600000000000485,22.114119566001964,0.0,0.0,0
0.2600000000000002,0.0,0.0,2.0,0.0,0.0,5.520000000000053,22.435085360794822,0.0,0.0,0
0.2800000000000002,0.0,0.0,2.0,0.0,0.0,5.480000000000057,22.763093546524043,0.0,0.0,0
0.3000000000000002,0.0,0.0,2.0,0.0,0.0,5.440000000000062,23.09835177201063,0.0,0.0,0
0.32000000000000023,0.0,0.0,2.0,0.0,0.0,5.400000000000066,23.4410754001985,0.0,0.0,0
0.34000000000000025,0.0,0.0,2.0,0.0,0.0,5.3600000000000705,23.791487854808647,0.0,0.0,0
0.36000000000000026,0.0,0.0,2.0,0.0,0.0,5.320000000000075,24.14982098531024,0.0,0.0,0
0.3800000000000003,0.0,0.0,2.0,0.0,0.0,5.280000000000079,24.516315451325585,0.0,0.0,0
0.4000000000000003,0.0,0.0,2.0,0.0,0.0,5.240000000000084,24.891221127671447,0.0,0.0,0
0.4200000000000003,0.0,0.0,2.0,0.0,0.0,5.200000000000088,25.274797531294762,0.0,0.0,0
0.44000000000000034,0.0,0.0,2.0,0.0,0.0,5.1600000000000925,25.66731427148897,0.0,0.0,0
0.46000000000000035,0.0,0.0,2.0,0.0,0.0,5.120000000000097,26.069051524831096,0.0,0.0,0
0.48000000000000037,0.0,0.0,2.0,0.0,0.0,5.080000000000101,26.48030053642565,0.0,0.0,0
0.5000000000000003,0.0,0.0,2.0,0.0,0.0,5.040000000000106,26.90136414911553,0.0,0.0,0
0.5200000000000004,0.0,0.0,2.0,0.0,0.0,5.00000000000011,27.332557362478433,0.0,0.0,0
0.5400000000000004,0.0,0.0,2.0,0.0,0.0,4.9600000000001145,27.774207923516673,0.0,0.0,0
0.5600000000000004,0.0,0.0,2.0,0.0,0.0,4.920000000000119,28.2266569511412,0.0,0.0,0
0.5800000000000004,0.0,0.0,2.0,0.0,0.0,4.880000000000123,28.690259596654354,0.0,0.0,0
0.6000000000000004,0.0,0.0,2.0,0.0,0.0,4.840000000000128,29.165385742635763,0.0,0.0,0
0.6200000000000004,0.0,0.0,2.0,0.0,0.0,4.800000000000132,29.65242074280582,0.0,0.0,0
0.6400000000000005,0.0,0.0,2.0,0.0,0.0,4.760000000000137,30.151766205639554,0.0,0.0,0
0.6600000000000005,0.0,0.0,2.0,0.0,0.0,4.720000000000141,30.663840824700547,0.0,0.0,0
0.6800000000000005,0.0,0.0,2.0,0.0,0.0,4.680000000000145,31.189081258936586,0.0,0.0,0
0.7000000000000005,0.0,0.0,2.0,0.0,0.0,4.64000000000015,31.72794306636445,0.0,0.0,0
0.7200000000000005,0.0,0.0,2.0,0.0,0.0,4.600000000000154,32.280901694927245,0.0,0.0,0
0.7400000000000005,0.0,0.0,2.0,0.0,0.0,4.560000000000159,32.84845353452005,0.0,0.0,0
0.7600000000000006,0.0,0.0,2.0,0.0,0.0,4.520000000000163,33.43111703456454,0.0,0.0,0
0.7800000000000006,0.0,0.0,2.0,0.0,0.0,4.480000000000167,34.029433891844334,0.0,0.0,0
0.8000000000000006,0.0,0.0,2.0,0.0,0.0,4.440000000000172,34.64397031369333,0.0,0.0,0
0.8200000000000006,0.0,0.0,2.0,0.0,0.0,4.400000000000176,35.27531836205594,0.0,0.0,0
0.8400000000000006,0.0,0.0,2.0,0.0,0.0,4.360000000000181,35.92409738439242,0.0,0.0,0
0.8600000000000007,0.0,0.0,2.0,0.0,0.0,4.320000000000185,36.590955537920756,0.0,0.0,0
0.8800000000000007,0.0,0.0,2.0,0.0,0.0,4.280000000000189,37.27657141420579,0.0,0.0,0
0.9000000000000007,0.0,0.0,2.0,0.0,0.0,4.240000000000194,37.981655771732214,0.0,0.0,0
0.9200000000000007,0.0,0.0,2.0,0.0,0.0,4.200000000000198,38.70695338476737,0.0,0.0,0
0.9400000000000007,0.0,0.0,2.0,0.0,0.0,4.160000000000203,39.453245017481414,0.0,0.0,0
0.9600000000000007,0.0,0.0,2.0,0.0,0.0,4.120000000000207,40.22134953318871,0.0,0.0,0
0.9800000000000008,0.0,0.0,2.0,0.0,0.0,4.0800000000002115,41.01212614934026,0.0,0.0,0
1.0000000000000007,0.0,0.0,2.0,0.0,0.0,4.040000000000216,41.82647684993642,0.0,0.0,0
1.0199999999999985,0.0,0.0,2.0,0.0,0.0,4.00000000000022,42.66534896804098,0.0,0.0,0
1.0399999999999963,0.0,0.0,2.0,0.0,0.0,3.9600000000002247,43.52973795227143,0.0,0.0,0
1.059999999999994,0.0,0.0,2.0,0.0,0.0,3.920000000000229,44.42069033238709,0.0,0.0,0
1.0799999999999919,0.0,0.0,2.0,0.0,0.0,3.8800000000002335,45.33930690058243,0.0,0.0,0
1.0999999999999897,0.0,0.0,2.0,0.0,0.0,3.840000000000238,46.28674612656238,0.0,0.0,0
1.1199999999999875,0.0,0.0,2.0,0.0,0.0,3.8000000000002423,47.26422782632569,0.0,0.0,0
1.1399999999999852,0.0,0.0,2.0,0.0,0.0,3.7600000000002467,48.273037106400146,0.0,0.0,0
1.159999999999983,0.0,0.0,2.0,0.0,0.0,3.720000000000251,49.31452860748977,0.0,0.0,0
1.1799999999999808,0.0,0.0,2.0,0.0,0.0,3.6800000000002555,50.39013107377652,0.0,0.0,0
1.1999999999999786,0.0,0.0,2.0,0.0,0.0,3.64000000000026,51.501352276849914,0.0,0.0,0
1.2199999999999764,0.0,0.0,2.0,0.0,0.0,3.6000000000002643,52.64978432603428,0.0,0.0,0
1.2399999999999742,0.0,0.0,2.0,0.0,0.0,3.5600000000002687,53.83710940027704,0.0,0.0,0
1.259999999999972,0.0,0.0,2.0,0.0,0.0,3.520000000000273,55.065105940260935,0.0,0.0,0
1.2799999999999698,0.0,0.0,2.0,0.0,0.0,3.4800000000002775,56.33565534358768,0.0,0.0,0
1.2999999999999676,0.0,0.0,2.0,0.0,0.0,3.440000000000282,57.65074921027714,0.0,0.0,0
1.3199999999999654,0.0,0.0,2.0,0.0,0.0,3.4000000000002863,59.01249719101899,0.0,0.0,0
1.3399999999999632,0.0,0.0,2.0,0.0,0.0,3.3600000000002908,60.423135496233904,0.0,0.0,0
1.359999999999961,0.0,0.0,2.0,0.0,0.0,3.320000000000295,61.88503613036401,0.0,0.0,0
1.3799999999999588,0.0,0.0,2.0,0.0,0.0,3.2800000000002996,63.4007169230728,0.0,0.0,0
1.3999999999999566,0.0,0.0,2.0,0.0,0.0,3.240000000000304,64.9728524369678,0.0,0.0,0
1.4199999999999544,0.0,0.0,2.0,0.0,0.0,3.2000000000003084,66.60428584068745,0.0,0.0,0
1.4399999999999522,0.0,0.0,2.0,0.0,0.0,3.160000000000313,68.29804184635276,0.0,0.0,0
1.45999999999995,0.0,0.0,2.0,0.0,0.0,3.120000000000317,70.05734082203439,0.0,0.0,0
1.4799999999999478,0.0,0.0,2.0,0.0,0.0,3.0800000000003216,71.88561420299585,0.0,0.0,0
1.4999999999999456,0.0,0.0,2.0,0.0,0.0,3.040000000000326,73.78652134037432,0.0,0.0,0
1.5199999999999434,0.0,0.0,2.0,0.0,0.0,3.0000000000003304,75.76396794284054,0.0,0.0,0
1.5399999999999412,0.0,0.0,2.0,0.0,0.0,2.960000000000335,77.82212628604121,0.0,0.0,0
1.559999999999939,0.0,0.0,2.0,0.0,0.0,2.920000000000339,79.9654573865262,0.0,0.0,0
1.5799999999999368,0.0,0.0,2.0,0.0,0.0,2.8800000000003436,82.19873536187518,0.0,0.0,0
1.5999999999999346,0.0,0.0,2.0,0.0,0.0,2.840000000000348,84.52707422736792,0.0,0.0,0
1.6199999999999324,0.0,0.0,2.0,0.0,0.0,2.8000000000003524,86.95595741229808,0.0,0.0,0
1.6399999999999302,0.0,0.0,2.0,0.0,0.0,2.760000000000357,89.49127031668684,0.0,0.0,0
1.659999999999928,0.0,0.0,2.0,0.0,0.0,2.7200000000003612,92.13933627239614,0.0,0.0,0
1.6799999999999258,0.0,0.0,2.0,0.0,0.0,2.6800000000003656,94.9069563225797,0.0,0.0,0
1.6999999999999236,0.0,0.0,2.0,0.0,0.0,2.64000000000037,97.80145329095652,0.0,0.0,0
1.7199999999999214,0.0,0.0,2.0,0.0,0.0,2.6000000000003745,100.83072067914249,0.0,0.0,0
1.7399999999999192,0.0,0.0,2.0,0.0,0.0,2.560000000000379,104.00327700756418,0.0,0.0,0
1.759999999999917,0.0,0.0,2.0,0.0,0.0,2.5200000000003833,107.32832630549326,0.0,0.0,0
1.7799999999999148,0.0,0.0,2.0,0.0,0.0,2.4800000000003877,110.81582556048838,0.0,0.0,0
1.7999999999999126,0.0,0.0,2.0,0.0,0.0,2.440000000000392,114.47656006001769,0.0,0.0,0
1.8199999999999104,0.0,0.0,2.0,0.0,0.0,2.4000000000003965,118.32222770150297,0.0,0.0,0
1.8399999999999082,0.0,0.0,2.0,0.0,0.0,2.360000000000401,122.3655335153618,0.0,0.0,0
1.859999999999906,0.0,0.0,2.0,0.0,0.0,2.3200000000004053,126.62029584405819,0.0,0.0,0
1.8799999999999037,0.0,0.0,2.0,0.0,0.0,2.2800000000004097,131.1015658542222,0.0,0.0,0
1.8999999999999015,0.0,0.0,2.0,0.0,0.0,2.240000000000414,135.82576233633768,0.0,0.0,0
1.9199999999998993,0.0,0.0,2.0,0.0,0.0,2.2000000000004185,140.8108240757202,0.0,0.0,0
1.9399999999998971,0.0,0.0,2.0,0.0,0.0,2.160000000000423,146.07638247104595,0.0,0.0,0
1.959999999999895,0.0,0.0,2.0,0.0,0.0,2.1200000000004273,150.0,0.0,0.0,0
