t,x,y,z,roll,yaw,dist,drive,turn,gf,DNp01_left,DNp01_right,DNa02_left,DNa02_right,DNa01_left,DNa01_right,DNb01_left,DNb01_right,DNp03_left,DNp03_right,DNp11_left,DNp11_right,DNg02_left,DNg02_right,DN_all_left,DN_all_right,nact
0.02000000000000001,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.04000000000000003,0.0,0.0,2.0,0.0,0.0,5.960000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.060000000000000046,0.0,0.0,2.0,0.0,0.0,5.920000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08000000000000006,0.0,0.0,2.0,0.0,0.0,5.880000000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.10000000000000007,0.0,0.0,2.0000587669047185,0.0,0.0,5.8400000000000345,20.048578480570114,0.0,0.08333333333333334,0.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10319917440660477,53
0.12000000000000009,0.0,0.0,2.0003221164905742,0.0,0.0,5.8000000002977625,20.325478813678867,0.0,0.2222222222222222,16.666666666666668,27.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103359173126615,0.30099759201926385,107
0.1400000000000001,-6.257562905628701e-11,3.045056628340152e-07,2.0009864194872455,-0.04432370522405017,0.040446226623762675,5.760000009006912,20.60815405140033,-0.2777777777777778,0.39814814814814825,27.77777777777778,51.85185185185186,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4048234280792421,0.613461758972595,128
0.16000000000000011,-3.4330067061696404e-09,4.4878323520727916e-06,2.0022158561168384,-0.1489748558905757,0.13842383093343488,5.720000237361579,20.89665912037169,-0.18518518518518517,0.5154320987654322,35.18518518518519,67.90123456790124,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47660063163939137,0.6669724419982419,137
0.18000000000000013,-3.243987876425452e-08,2.088019158466883e-05,2.004098479125064,-0.30309000210630854,0.28692580241464444,5.680002679110379,21.190204449352347,-0.2623456790123457,0.5936213991769548,40.12345679012346,78.60082304526749,7.4074074074074066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,0.4727725141161834,0.8058454050886112,101
0.20000000000000015,-1.5568103472598415e-07,6.104707567299622e-05,2.006555053917561,-0.4936477486019508,0.47725449252053553,5.640011957358433,21.48748007168032,-0.17489711934156377,0.47908093278463654,26.748971193415642,69.06721536351166,4.93827160493827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.44438064248572434,0.8984273804821908,137
0.22000000000000017,-5.135179165811446e-07,0.00013814650634523824,2.0094175723228633,-0.6911429627962018,0.685111293459708,5.600034495082071,21.787532183007233,-0.1165980795610425,0.4027206218564244,34.499314128943766,46.04481024234111,3.292181069958847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4074074074074066,0.0,0.0,0.4254527280654183,0.8569495230046391,92
0.24000000000000019,-1.3300354699105411e-06,0.00026609458750283114,2.012629239000145,-0.8774363627809277,0.8954717634280314,5.560077494928555,22.089902367900002,-0.077732053040695,0.4351470812376162,39.666209419295846,47.363206828227405,2.1947873799725643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93827160493827,0.0,0.0,0.41283411845188095,0.6744988564096974,92
0.2600000000000002,-2.916272695033205e-06,0.00045949885061063734,2.0162554669720394,-1.064133691269856,1.1195814350138225,5.520148650804005,22.39425910515707,-0.19071025758268556,0.5400980541584108,43.110806279530564,64.90880455215161,1.4631915866483762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.958847736625515,0.0,0.0,0.4302615053245098,0.7592634274929458,131
0.2800000000000002,-5.639998776716176e-06,0.0007311385455216311,2.0202595667178027,-1.2537186281478538,1.3609210957738254,5.480256397766686,22.700101270390732,-0.12714017172179037,0.4433987027722739,28.74053751968704,59.939203034767736,0.9754610577655841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.305898491083676,0.0,0.0,0.3902001766762882,0.6867741735401889,125
0.3000000000000002,-9.96529282367649e-06,0.0010943506247897085,2.0246212693763526,-1.4496440339755128,1.623540477954073,5.440408212662578,23.007877614734213,-0.2236490033700825,0.5455991351815159,52.49369167979137,56.626135356511824,0.6503073718437227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.537265660722454,0.0,0.0,0.5960507637790242,0.8190465594499092,137
0.32000000000000023,-1.643382177437113e-05,0.0015619078359180077,2.029303499564876,-1.6493649282460279,1.9063831814152759,5.400612011995342,23.31724417973577,-0.14909933558005498,0.4470660901210106,34.99579445319424,54.41742357100788,0.4335382478958151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.02484377381497,0.0,0.0,0.4490467624159903,0.6492302140398776,99
0.34000000000000025,-2.570689920299426e-05,0.0021472093673035875,2.034286713003074,-1.8312195760946126,2.190489281946685,5.360875444281786,23.628253957172756,-0.09939955705336999,0.5480440600806737,39.997196302129495,69.61161571400525,0.28902549859721005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.349895849209979,0.0,0.0,0.4802430612489031,0.7424176659130659,137
0.36000000000000026,-3.846668826571485e-05,0.0028613265363014694,2.039535319125992,-1.9830740393923894,2.4646062536752336,5.321206650768271,23.94050064048654,-0.06626637136891332,0.4486960400537825,26.664797534752996,63.0744104760035,0.19268366573147336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.566597232806652,0.0,0.0,0.3460018341142558,0.7271432530235713,96
0.3800000000000003,-5.541600425137399e-05,0.00371373304548171,2.045031770041054,-2.099072671928688,2.7224621105828475,5.281612520896029,24.254623311981035,-0.04417758091260888,0.5491306933691883,34.443198356501995,75.38294031733567,0.12845577715431555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.044398155204434,0.0,0.0,0.3857066490994263,0.8201594855038462,130
0.4000000000000003,-7.709143448797305e-05,0.004708155451936287,2.0506840633189047,-2.1774488952572835,2.960965339851295,5.242099252115714,24.570958783371385,-0.029451720608405917,0.36608712891279216,22.962132237667994,50.25529354489044,0.0856371847695437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.362932103469623,0.0,0.0,0.4380163190378604,0.7015717519458046,134
0.4200000000000003,-0.0001040757104882388,0.005849575808960208,2.056507597058518,-2.2190480058512234,3.1790207450933075,5.202669294887035,24.891812006781894,-0.019634480405603946,0.5773914192751949,48.64142149177867,66.8368623632603,0.05709145651302913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.241954735646415,0.0,0.0,0.5762486054567648,0.9321107861269244,163
0.44000000000000034,-0.0001369283141653312,0.007143138853144014,2.0625950978952976,-2.2263292188034924,3.3767541093076288,5.16332657426095,25.216291099996997,-0.013089653603735962,0.5515942795167966,32.427614327852446,77.89124157550687,0.038060971008686086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4946364904309433,0.0,0.0,0.5650442899427528,0.9310047139710972,155
0.46000000000000035,-0.00017606216299811454,0.008590535630348492,2.0690085199207773,-2.2248359031399487,3.5752160868145753,5.124076146428149,25.543656083116694,-0.14761532462471288,0.7010628530111976,54.951742885234964,85.26082771700457,0.02537398067245739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.66309099362063,0.0,0.0,0.6867737126750135,1.1108658877454374,169
0.48000000000000037,-0.0002218660628566605,0.010193122534793857,2.075820479410729,-2.22643876094225,3.7841787892648626,5.08492134295833,25.87500820703864,-0.09841021641647527,0.7173752353407984,53.30116192348998,90.17388514466971,0.01691598711497159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.775393995747088,0.0,0.0,0.7162470745998798,1.0759745753184236,149
0.5000000000000003,-0.0002746326284064351,0.011949378602765839,2.0830112673390824,-2.307258412277484,4.072289839807979,5.045865913740236,26.210083167594064,-0.6211623664998723,0.7282501568938656,68.86744128232665,76.78259009644647,16.677943991409983,0.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,7.8502626638313915,0.0,0.0,0.8392551556764056,0.897914938757174,146
0.5200000000000004,-0.00033516687352184115,0.013865566407118932,2.090614480359564,-2.492748836523371,4.46655555984205,5.006911125127191,26.550585503200768,-0.4141082443332483,0.8188334379292438,79.24496085488444,84.52172673096432,11.118629327606655,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,5.23350844255426,0.0,0.0,0.7920615766524874,0.959807069594566,159
0.5400000000000004,-0.00040485294893546594,0.015953964869770354,2.098630133440974,-2.7142462597605275,4.908672587478905,4.96806360355105,26.892878142145342,-0.2760721628888322,0.7958889586194959,69.49664056992296,89.68115115397622,7.41241955173777,0.0,7.4074074074074066,0.0,0.0,0.0,0.0,0.0,0.0,3.489005628369507,0.0,0.0,0.7864389839181958,1.0526680773561297,159
0.5600000000000004,-0.00048549629998784785,0.01822948056816781,2.10705082582231,-2.9295407726972713,5.362378687357884,4.9293332342823755,27.234519647953352,-0.18404810859255474,0.8639259724129973,62.99776037994864,109.78743410265082,4.941613034491846,0.0,4.93827160493827,0.0,0.0,0.0,0.0,0.0,0.0,2.3260037522463377,0.0,0.0,0.7568507954803476,1.1145754158638388,152
0.5800000000000004,-0.000578624621396572,0.020699250533999833,2.115733594434628,-3.1139843860010603,5.8058105048046365,4.890731633092745,27.573975284707757,-0.12269873906170316,0.6592839816086647,41.998506919965756,89.85828940176721,3.2944086896612306,0.0,3.292181069958847,0.0,0.0,0.0,0.0,0.0,0.0,1.550669168164225,0.0,0.0,0.6079263701135134,0.8978490388524663,126
0.6000000000000004,-0.0006854862097364412,0.023364658332156348,2.1244818222958135,-3.2766337912581274,6.246632292689834,4.8522631950773105,27.91614005710298,-0.2206880482633577,0.6061893210724432,44.66567127997717,76.57219293451148,2.1962724597741534,0.0,2.1947873799725643,0.0,0.0,0.0,0.0,0.0,0.0,17.700446112109486,0.0,0.0,0.6636821795588798,0.9597631363247608,137
0.6200000000000004,-0.0008078659341737657,0.02623431411296706,2.1332776440254353,-3.419958268658099,6.686834529617788,4.813926826049225,28.26502221813326,-0.14712536550890512,0.6541262140482955,46.44378085331811,84.38146195634098,1.4641816398494356,0.0,1.4631915866483762,0.0,0.0,0.0,0.0,0.0,0.0,11.80029740807299,0.0,0.0,0.700852719189124,0.9752394077046392,181
0.6400000000000005,-0.0009477584962662945,0.029318373808652355,2.14215599966191,-3.548940503620643,7.130258543672203,4.775729018497341,28.615077389846054,-0.23697246589482565,0.6860841426988636,47.62918723554541,89.58764130422732,0.976121093232957,0.0,0.9754610577655841,0.0,0.0,0.0,0.0,0.0,0.0,24.533531605381995,0.0,0.0,0.6481136990976588,1.0113567155595429,154
0.6600000000000005,-0.0011071187572421445,0.032624915072071464,2.151131919684793,-3.6855628633827493,7.596600895394222,4.737678725790638,28.964237768265072,-0.2968705328187726,0.707389428465909,48.41945815703027,93.05842753615154,0.650747395488638,0.0,0.6503073718437227,0.0,0.0,0.0,0.0,0.0,0.0,33.022354403588,0.0,0.0,0.6387941456516691,1.0870345079994477,141
0.6800000000000005,-0.0012873611009797457,0.03615403596950026,2.160090297512325,-3.8411372442955747,8.09663844451385,4.699783545299801,29.31324624085522,-0.3368025774347373,0.5549262856439394,32.27963877135351,78.70561835743436,0.43383159699242535,0.0,0.4335382478958151,0.0,0.0,0.0,0.0,0.0,0.0,38.681569602391995,0.0,0.0,0.5033821436127406,0.8278888464062365,122
