t,yaw,wz,turn,yawrate_sp,nact
0.02000000000000001,0.0,0.0,0.0,0.0,0
0.04000000000000003,0.0,0.0,0.0,0.0,0
0.060000000000000046,0.0,0.0,0.0,0.0,0
0.08000000000000006,0.0,0.0,0.0,0.0,0
0.10000000000000007,0.0,0.0,0.0,0.0,0
0.12000000000000009,0.0,0.0,0.0,0.0,0
0.1400000000000001,0.0,0.0,0.0,0.0,0
0.16000000000000011,0.0,0.0,0.0,0.0,0
0.18000000000000013,0.0,0.0,0.0,0.0,0
0.20000000000000015,0.0,0.0,0.0,0.0,0
0.22000000000000017,0.0,0.0,0.0,0.0,0
0.24000000000000019,0.0,0.0,0.0,0.0,0
0.2600000000000002,0.0,0.0,0.0,0.0,0
0.2800000000000002,0.0,0.0,0.0,0.0,0
0.3000000000000002,0.0,0.0,0.0,0.0,0
0.32000000000000023,0.0,0.0,0.0,0.0,0
0.34000000000000025,0.0,0.0,0.0,0.0,0
0.36000000000000026,0.0,0.0,0.0,0.0,0
0.3800000000000003,0.0,0.0,0.0,0.0,0
0.4000000000000003,0.0,0.0,0.0,0.0,0
0.4200000000000003,0.0,0.0,0.0,0.0,0
0.44000000000000034,0.0,0.0,0.0,0.0,0
0.46000000000000035,0.0,0.0,0.0,0.0,0
0.48000000000000037,0.0,0.0,0.0,0.0,0
0.5000000000000003,0.0,0.0,0.0,0.0,0
0.5200000000000004,0.1092048123855761,10.206007168698738,0.0,0.0,0
0.5400000000000004,0.41014593372219804,19.25465231153603,0.0,0.0,0
0.5600000000000004,0.881080451302597,27.277180374431,0.0,0.0,0
0.5800000000000004,1.5027311004523791,34.3899531159816,0.0,0.0,0
0.6000000000000004,2.258006659846705,40.69613686209232,0.0,0.0,0
0.6200000000000004,3.1317540540203215,46.28719886909263,0.0,0.0,0
0.6400000000000005,4.110538567472716,51.244233999158666,0.0,0.0,0
0.6600000000000005,5.182448982511233,55.6391409506364,0.0,0.0,0
0.6800000000000005,6.336924814478329,59.535665103752535,0.0,0.0,0
0.7000000000000005,7.564603138517778,62.99032310753855,0.0,0.0,0
0.7200000000000005,8.85718278619784,66.05322261852407,0.0,0.0,0
0.7400000000000005,10.20730394224814,68.76878908099717,0.0,0.0,0
0.7600000000000006,11.60844139503618,71.17641009032488,0.0,0.0,0
0.7800000000000006,13.05480989244834,73.31100668542257,0.0,0.0,0
0.8000000000000006,14.541280230421485,75.20353985661082,0.0,0.0,0
0.8200000000000006,16.063304857041818,76.8814596154419,0.0,0.0,0
0.8400000000000006,17.61685191314475,78.36910313997151,0.0,0.0,0
0.8600000000000007,19.198346752716116,79.68804777032535,0.0,0.0,0
0.8800000000000007,20.80462009488451,80.85742397454024,0.0,0.0,0
0.9000000000000007,22.43286205548177,81.89419282405372,0.0,0.0,0
0.9200000000000007,24.080581391428225,82.81339200345148,0.0,0.0,0
0.9400000000000007,25.745569366807835,83.62835392268927,0.0,0.0,0
0.9600000000000007,27.425867716533414,84.35089909537201,0.0,0.0,0
0.9800000000000008,29.1197402429346,84.99150758792018,0.0,0.0,0
1.0000000000000007,30.825647633295166,85.5594710263875,0.0,0.0,0
1.0199999999999985,32.54222513308354,86.06302736569312,0.0,0.0,0
1.0399999999999963,34.2682627510407,86.50948037601206,0.0,0.0,0
1.059999999999994,36.002687709012804,86.9053055793999,0.0,0.0,0
1.0799999999999919,37.74454888197403,87.2562441731952,0.0,0.0,0
1.0999999999999897,39.493003002552356,87.56738630250109,0.0,0.0,0
1.1199999999999875,41.24730242996284,87.84324488956054,0.0,0.0,0
1.1399999999999852,43.00678430594514,88.08782109087467,0.0,0.0,0
1.159999999999983,44.77086094041841,88.30466233147877,0.0,0.0,0
1.1799999999999808,46.539011287403774,88.49691375812647,0.0,0.0,0
1.1999999999999786,48.310773387577896,88.66736385767908,0.0,0.0,0
1.2199999999999764,50.08573766784149,88.81848490236568,0.0,0.0,0
1.2399999999999742,51.86354100071734,88.95246880854769,0.0,0.0,0
1.259999999999972,53.64386143741308,89.07125892909657,0.0,0.0,0
1.2799999999999698,55.42641353815503,89.17657824051327,0.0,0.0,0
1.2999999999999676,57.21094423206261,89.26995433362643,0.0,0.0,0
1.3199999999999654,58.997229146513234,89.35274157034296,0.0,0.0,0
1.3399999999999632,60.78506935275759,89.42614072782165,0.0,0.0,0
1.359999999999961,62.57428848058241,89.49121641499582,0.0,0.0,0
1.3799999999999588,64.3647301601706,89.54891251406103,0.0,0.0,0
1.3999999999999566,66.15625575405483,89.60006587089661,0.0,0.0,0
1.4199999999999544,67.94874234626758,89.64541843299259,0.0,0.0,0
1.4399999999999522,69.74208095952189,89.68562801093441,0.0,0.0,0
1.45999999999995,71.53617497456374,89.72127781953488,0.0,0.0,0
1.4799999999999478,73.33093872877026,89.75288493700046,0.0,0.0,0
1.4999999999999456,75.12629627366685,89.78090780482788,0.0,0.0,0
